"POVINN","REQTYP","REQPOVINN","REQOD","REQDO"
NDFY043,N,NFUF403,"2020","9998"
NDFY043,Z,NFUF403,"2020","9998"
NDFY045,N,NFUF402,"2021","9998"
NDFY045,Z,NFUF402,"2021","9998"
NDFY046,N,NFUF406,"2021","9998"
NDFY046,Z,NFUF406,"2021","9998"
NFPL302,K,MS710P03A,"2020","9999"
NFPL302,Z,MFPL302,"2020","9999"
NMMA561,N,NRFA082,"2013","9999"
NMMA561,Z,NRFA082,"2013","9999"
NMMA562,N,NRFA083,"2013","9999"
NMMA562,Z,NRFA083,"2013","9999"
NMMB303,N,NMIB008,"2012","2020"
NMMB303,N,NMMB334,"2021","9998"
NMMB303,Z,NMIB008,"2012","2020"
NMMB303,Z,NMMB334,"2021","9998"
NMMB462,N,NMIB010,"2013","9999"
NMMB462,Z,NMIB010,"2013","9999"
NMMO531,N,NMOD036,"2013","9999"
NMMO531,Z,NMOD036,"2013","9999"
NMNV402,N,NRFA018,"2020","9999"
NMNV402,Z,NMNV406,"2020","9999"
NMNV402,Z,NRFA018,"2020","9999"
NMNV407,N,NNUM130,"2020","9999"
NMNV407,Z,NMNV412,"2020","9999"
NMNV535,N,NDIR050,"2013","9999"
NMNV535,Z,NDIR050,"2013","9999"
NOFY027,K,NOFY003,"2010","9999"
NOFY027,N,NXXX005,"2019","9999"
NOFY027,N,NXXX006,"2019","9999"
NOFY027,N,NOFY127,"2020","9999"
NOFY027,Z,NOFY127,"2020","9999"
NOFY042,N,NFPL010,"2016","2020"
NOFY042,N,NUFY031,"2016","2020"
NOFY042,N,NFPL010,"2021","9999"
NOFY042,N,NOFY075,"2021","9999"
NOFY042,N,NOFY076,"2021","9999"
NOFY042,N,NUFY031,"2021","9999"
NOFY042,Z,NFPL010,"2016","2020"
NOFY042,Z,NUFY031,"2016","2020"
NOFY042,Z,NFPL010,"2021","9999"
NOFY042,Z,NUFY031,"2021","9999"
NOOE014,N,NOOE015,"2020","9999"
NOOE014,Z,NOOE015,"2020","9999"
NPFL104,N,NXXX011,"2019","9999"
NPFL104,N,NXXX012,"2019","9999"
NPFL104,N,NXXX013,"2019","9999"
NPFL104,N,NXXX038,"2019","9999"
NPFL104,N,NXXX039,"2019","9999"
NPFL104,N,NXXX040,"2019","9999"
NPFL104,N,NXXX067,"2019","9999"
NPFL104,N,NXXX069,"2019","9999"
NPFL104,N,NXXX070,"2019","9999"
NPFL104,N,NXXX071,"2019","9999"
NSWI138,P,NSWI015,"2009","9999"
NTIN065,K,NTIN064,"2007","9999"
NTIN074,K,NTIN073,"2007","9999"
NTIN089,K,NTIN088,"2007","9999"
NUFY023,N,NFUF503,"2021","9998"
NUFY023,Z,NFUF503,"2021","9998"
NUFY080,Z,NFUF101,"2019","9999"
NUFY081,N,NUFY027,"2019","9999"
NUFY081,Z,NFUF804,"2019","9999"
NUFY081,Z,NUFY027,"2019","9999"
NUFY094,N,NFUF302,"2021","9998"
NUFY094,Z,NFUF302,"2021","9998"
NUFY100,N,NFUF204,"2020","9999"
NUFY100,Z,NFUF204,"2020","9999"
NUFY102,Z,NFUF201,"2020","9999"
NZZZ278,Z,MS710S11A,"2019","9998"
NZZZ279,Z,MS710S11B,"2019","9998"
