"KOD","USTAV","FAKULTA","PRIJMENI","JMENO","TITULPRED","TITULZA"
"10725","32-KFKL","11320",Javorský,Pavel,prof. Mgr.,Dr.
"10731","32-KCHFO","11320",Zamastil,Jaroslav,doc. Mgr.,Ph.D.
"10854","32-KDSS","11320",Hnětynka,Petr,doc. RNDr.,Ph.D.
"10864","32-KFKL","11320",Dopita,Milan,RNDr.,Ph.D.
"10876","32-UFAL","11320",Bojar,Ondřej,doc. RNDr.,Ph.D.
"10900","32-KA","11320",Kamenický,Marian,,
"10935","32-KPMS","11320",Swart,Jan,Dr.,
"10973","32-KDF","11320",Gottwald,Stanislav,RNDr.,
"11034","32-KDF","11320",Žák,Vojtěch,doc. RNDr. Mgr.,Ph.D.
"11064","32-KFKL","11320",Kalbáčová Vejpravová,Jana,prof. RNDr.,Ph.D.
"11075","32-KDF","11320",Koupilová,Zdeňka,RNDr.,Ph.D.
"11103","32-KTIML","11320",Fink,Jiří,RNDr.,Ph.D.
"11115","32-KAM","11320",Krylová,Naděžda,RNDr.,CSc.
"11143","32-UTF","11320",Žofka,Martin,doc. RNDr.,Ph.D.
"11160","32-KFA","11320",Pišoft,Petr,prof. RNDr.,Ph.D.
"11275","32-UFAL","11320",Žabokrtský,Zdeněk,doc. Ing.,Ph.D.
"11288","32-KDSS","11320",Kofroň,Jan,doc. RNDr.,Ph.D.
"11289","32-UTF","11320",Heyrovský,David,doc. Mgr.,Ph.D.
"11300","32-FUUK","11320",Veis,Martin,RNDr.,Ph.D.
"11320","32-KFPP","11320",Přech,Lubomír,doc. RNDr.,Dr.
"11323","32-KFKL","11320",Diviš,Martin,doc. RNDr.,CSc.
"11337","32-KFKL","11320",Kužel,Radomír,prof. RNDr.,CSc.
"11339","32-UTF","11320",Podolský,Jiří,prof. RNDr.,"CSc., DSc."
"11348","32-KFNT","11320",Pfeffer,Miloš,Ing.,CSc.
"11415","32-KA","11320",Urban,Josef,Mgr.,Ph.D.
"11438","32-KFNT","11320",Štěpánková,Helena,prof. RNDr.,CSc.
"11441","32-FUUK","11320",Štěpánek,Josef,prof. RNDr.,CSc.
"11466","32-KMA","11320",Spurný,Jiří,prof. RNDr.,"Ph.D., DSc."
"11476","32-KFNT","11320",Skrbek,Ladislav,prof. RNDr.,DrSc.
"11483","32-UTF","11320",Semerák,Oldřich,doc. RNDr.,DSc.
"11543","32-KFM","11320",Janeček,Miloš,prof. RNDr.,CSc.
"11570","32-KDF","11320",Houfková,Jitka,RNDr.,Ph.D.
"11589","32-KFM","11320",Málek,Přemysl,doc. RNDr.,CSc.
"11605","32-FUUK","11320",Grill,Roman,prof. RNDr.,CSc.
"11615","32-KSI","11320",Beneš,Antonín,RNDr.,Ph.D.
"11620","32-FUUK","11320",Baumruk,Vladimír,prof. RNDr.,DrSc.
"11728","32-KDF","11320",Kekule,Martina,RNDr.,Ph.D.
"11761","32-KMA","11320",Rokyta,Mirko,doc. RNDr.,CSc.
"11827","32-KNM","11320",Strakoš,Zdeněk,prof. Ing.,DrSc.
"11830","32-FUUK","11320",Franc,Jan,prof. Ing.,DrSc.
"11846","32-KDF","11320",Dvořák,Leoš,doc. RNDr.,CSc.
"11849","32-KDF","11320",Drozd,Zdeněk,doc. RNDr.,Ph.D.
"11856","32-KCHFO","11320",Dian,Juraj,doc. RNDr.,CSc.
"11927","32-KPMS","11320",Maciak,Matúš,doc. RNDr.,Ph.D.
"12129","32-KA","11320",Příhoda,Pavel,doc. Mgr.,Ph.D.
"12310","32-KDF","11320",Dvořáková,Irena,RNDr.,Ph.D.
"12335","32-MUUK","11320",Maršík,František,prof. Ing.,DrSc.
"12350","32-KPMS","11320",Zvára,Karel,doc. RNDr.,CSc.
"12396","32-FUUK","11320",Bok,Jiří,doc. RNDr.,CSc.
"12410","32-KDF","11320",Mandíková,Dana,RNDr.,CSc.
"12411","32-FUUK","11320",Mančal,Tomáš,doc. Mgr.,Ph.D.
"12441","32-KTIML","11320",Kučera,Antonín,doc. RNDr.,CSc.
"12448","32-KMF","11320",Křivka,Ivo,doc. RNDr.,CSc.
"12454","32-UTF","11320",Krtouš,Pavel,prof. RNDr.,Ph.D.
"12494","32-KCHFO","11320",Kapsa,Vojtěch,RNDr.,CSc.
"12526","32-KSVI","11320",Suda,Martin,RNDr.,Ph.D.
"12621","32-KCHFO","11320",Soldán,Pavel,doc. Ing.,Dr.
"12698","32-KA","11320",Měska,Jiří,RNDr.,
"12740","32-KNM","11320",Vlasák,Miloslav,RNDr.,Ph.D.
"12948","32-KTIML","11320",Hric,Jan,RNDr.,
"12967","32-KCHFO","11320",Sladký,Petr,doc. Ing.,CSc.
"12970","32-KMA","11320",Kalenda,Ondřej,prof. RNDr.,"Ph.D., DSc."
"12988","32-KFKL","11320",Daniš,Stanislav,doc. RNDr.,Ph.D.
"13003","32-KNM","11320",Kučera,Václav,doc. RNDr.,Ph.D.
"13359","32-KFA","11320",Huszár,Peter,doc. Mgr.,Ph.D.
"13470","32-SISAL","11320",Kotal,Vladimír,Mgr.,
"13584","32-UTF","11320",Svítek,Otakar,doc. RNDr.,Ph.D.
"13827","32-KDF","11320",Snětinová,Marie,RNDr.,Ph.D.
"14077","32-KDF","11320",Koudelková,Věra,RNDr.,Ph.D.
"14110","32-MUUK","11320",Salač,Tomáš,Mgr.,Ph.D.
"16584","32-KTIML","11320",Bulín,Jakub,RNDr.,Ph.D.
"18969","32-KFM","11320",Stráský,Josef,doc. PhDr. RNDr.,Ph.D.
"19204","32-KCHFO","11320",Augustovičová,Lucie,doc. Ing.,Ph.D.
"22167","32-KTIML","11320",Ivanová,Marika,Mgr.,Ph.D.
"67707","32-MUUK","11320",Feichtinger,Hans Georg,prof.,
