"POVINN","TYP","JAZYK","VPLATIOD","VPLATIDO","MEMO"
NAFY004,A,CZE,"2012","9999","Praktické úlohy k přednášce Mechanika a kontinuum. 
"
NAFY004,A,ENG,"2020","9999","Wide offer of experimental problems from mechanics and molecular physics.
"
NAFY004,E,CZE,"2017","9999","Podmínkou udělení klasifikovaného zápočtu je změření předepsaného počtu úloh a vypracování referátů. Termíny měření a odevzdání jsou uvedeny na webových stránkách fyzikálního praktika http://physics.mff.cuni.cz/vyuka/zfp/ v řádu fyzikálního praktika a v přehledu pro zimní semestr. Hodnocení protokolů a celkové práce v praktiku je podrobně popsáno na stránce http://physics.mff.cuni.cz/vyuka/zfp/hodnoceni.
Povaha kontroly studia předmětu vylučuje opravné termíny zápočtu.
"
NAFY004,E,ENG,"2019","9999","Finalization of protocols."
NAFY004,L,CZE,"2019","9999","https://physics.mff.cuni.cz/vyuka/zfp/"
NAFY004,L,ENG,"2019","9999","https://physics.mff.cuni.cz/vyuka/zfp/"
NAFY004,S,CZE,"2012","9999","Základní měření - měření prostoru, měření času, vážení na analytických vahách, měření hustoty látek, měření tíhového zrychlení. 
Studium otáčení tuhého tělesa, měření momentu setrvačnosti kola. 
Mechanické vlastnosti pevných látek - měření modulu pružnosti v tahu, dynamická zkouška deformace látek v tlaku. 
Mechanika kapalin a plynů - studium proudění tekutin, volný pád koule ve viskosní kapalině, měření viskozity, měření povrchového napětí, studium reologického chování látek. 
Kmity a vlnění - kmity harmonického oscilátoru, vázané kmity, tlumené a nucené kmity, studium mechanické rezonance. 
Akustika - rychlost šíření zvuku. 
"
NAFY008,A,CZE,"2009","9999","Textové procesory - LaTeX, Word apod. - efektivní práce s textovými procesory. Tvorba typického vědeckého 
miničlánku 
či zprávy - zásady a techniky psaní  - hlavičky, abstrakty, členění, formátování. Matematické výrazy, obrázky, 
tabulky a 
jejich číslování. Odkazy na literaturu. Práce s bibliografickými databázemi. 
Tabulkové výpočty -  efektivní práce s tabulkovým procesorem. Řešení matematických problémů
Speciální programy pro vědecké výpočty a grafy.  Práce s obrázky a fotografiemi .
Základní algoritmy programování. Tvorba www.
"
NAFY008,S,CZE,"2020","9999","Tabulkové procesory (Excel, pokročilejší příklady, kreslení kvalitnějších grafů, numerické metody, alternativní programy)

Práce s obrázky a fotografiemi, prezentační programy.

Psaní odborných textů, vědeckých článků - jak a v čem (Latex, Word a alternativy, práce s referencemi, tvorba jednoduchých www stránek)

Kreslení grafů - komerční programy (Origin), Gnuplot

Linux

Krátký úvod do programování (Python, Matlab, makra v Excelu)

Speciální matematické programy - přehled (Matlab, Mathematica, Maple, Mathcad)"
NAFY008,S,ENG,"2020","9999","Spreadsheets (Excel, advanced examples, good quality graphs, numeric methods, alternative programs)

Vector and bitmap graphics, presentations

Writing scientific texts - how and where (Latex, Word and alternatives, references, simple web pages)

Graphs - commercial programs (Origin), Gnuplot

Linux

Short introduction to programming (Python, Matlab, macros in Excel)

Special mathematical programs - overview (Matlab, Mathematica, Maple, Mathcad)"
NAFY108,A,CZE,"2021","9999","Předmět je určený zejména pro zájemce o téma meteorologie a výzkumu atmosféry, kteří neplánují další studium 
souvisejícího magisterského programu (pro ten je doporučen speciální blok vybraných povinně volitelných 
předmětů).
Posluchači se seznámí s principy pozorovacích metod používaných v meteorologii včetně možností využití metod 
dálkového průzkumu země a dále s metodami analýzy polí meteorologických veličin a s pomůckami pro popis 
vertikální struktury atmosféry.
"
NAFY108,A,ENG,"2021","9999","Students will gain knowledge about principles of observation methods used in meteorology including possibilities 
of distant methods and further with methods for meteorological characteristics analysis and with tools for vertical 
structure of atmosphere description.
"
NAFY108,E,CZE,"2021","9999","Vyžaduje se aktivní účast na cvičení (účast alespoň 75 %) a ověření získaných znalostí formou závěrečného testu - ústní formou."
NAFY108,S,CZE,"2021","9999","Základy přístrojové a měřící techniky a pozorovacích metod. Metody předpovědí počasí a základy numerických předpovědních metod. Základní principy analýzy polí meteorologických prvků, atmosférických front a speciálních povětrnostních charakteristik. Práce s aerologickými diagramy a s vertikálními řezy atmosféry. Využití družicových a radarových dat pro účely nowcastingu a předpovědi počasí.
"
NAFY108,S,ENG,"2021","9999","Fundamentals of instrumental and measurement techniques and observation methods. Methods of weather forecasts and basics of numerical forecast methods. Basic principles of analysis of meteorological fields, atmospheric fronts and special weather features. Aeorological diagrams and vertical cross-sections of atmosphere. Using of satellite and radar data for nowcasting and weather forecasts.
"
NAIL048,A,CZE,"1348","9999","Kardinální aritmetika v teorii množin, úvod do teorie modelů, úvod do
univerzální algebry.
"
NAIL049,A,CZE,"1348","9999","Základní kurs nestandardních metod v matematice t.j. použití nekonečně
malých a nekonečně velkých veličin v mažtematice a včetně jejich
zobecnění vhodných pro modernější partie (na př. topologie a funkcionální
analýza).
"
NAIL049,L,CZE,"1348","9999","Martin Davis: Applied Nonstandard Analysis; John Wiley and Sons, New York. London. Sydney. Toronto 1977 

K.D.Stroyan, W.A.J.Luxemburg: Introduction to the Theory of Infinitesimals; Academic Press, New York, London 1976 
"
NAIL062,A,CZE,"2003","9999","Výroková logika, normální tvary formulí, predikátová logika, věty o úplnosti výrokové a  predikátové logiky, prenexní tvary formulí, modely teorií 1. řádu. Meze formální metody, Gödelovy věty.
"
NAIL062,A,ENG,"2003","9999","Propositional logic, normal forms of propositional formulas, 
predicate logic of first order,
prenex forms of formulas, completness theorems for 
propositional and predicate logic,
models of first-order theories. The limits of formal 
method, Goedel's theorems
"
NAIL062,C,CZE,"2003","9999","Naučit základy výrokové a predikátové logiky
"
NAIL062,C,ENG,"2017","9999","To present elements of propositional and predicate logic."
NAIL062,E,CZE,"2022","9999","Formou kontroly studia předmětu je zápočet a zkouška. Získání zápočtu je nutnou podmínkou pro absolvování zkoušky s výjimkou předtermínů. Zápočet udělují vyučující na jednotlivých cvičeních na základě bodového hodnocení zápočtových testů, případných domácích úloh, aktivity apod. Povaha kontroly na zápočet vylučuje možnost jejího opakování."
NAIL062,E,ENG,"2022","9999","The form of study verification is a credit and an exam. Obtaining credit first is a necessary condition for taking an exam, with the exception of early exam terms. The credit is granted by teachers leading the tutorials based on evaluation of tests during the semester, possibly homework assignments, in-class activities, etc. The nature of study verification for the credit excludes the possibility of its repetition.
"
NAIL062,L,CZE,"2019","9999","* A. Nerode, R. A. Shore, Logic for Applications, Springer, 2. vydání, 1997.
* P. Pudlák, Logical Foundations of Mathematics and Computational Complexity - A Gentle Introduction, Springer, 2013.
* V. Švejdar, Logika, neúplnost, složitost a nutnost, Academia, Praha, 2002.
* A. Sochor, Klasická matematická logika, Univerzita Karlova v Praze - Karolinum, 2001.
* W. Hodges, Shorter Model Theory, Cambridge University Press, 1997.
* W. Rautenberg, A concise introduction to mathematical logic, Springer, 2009.

* J. Mlček, Výroková a predikátová logika, el. skripta, 2012.
* P. Štěpánek, Meze formální metody, el. skripta, 2000."
NAIL062,L,ENG,"2019","9999","* A. Nerode, R. A. Shore, Logic for Applications, Springer, 2. vydání, 1997.
* P. Pudlák, Logical Foundations of Mathematics and Computational Complexity - A Gentle Introduction, Springer, 2013.
* V. Švejdar, Logic: Incompleteness, Complexity, and Necessity, Academia, Praha, 2002.
* W. Hodges, Shorter Model Theory, Cambridge University Press, 1997.
* W. Rautenberg, A concise introduction to mathematical logic, Springer, 2009.

Literature in Czech only:
* A. Sochor, Klasická matematická logika, Univerzita Karlova v Praze - Karolinum, 2001.
* J. Mlček, Výroková a predikátová logika, el. skripta, 2012.
* P. Štěpánek, Meze formální metody, el. skripta, 2000."
NAIL062,P,CZE,"2022","9999","Zkouška je ústní s písemnou přípravou. Požadavky u zkoušky odpovídají sylabu předmětu v rozsahu, který byl pokryt na přednášce."
NAIL062,P,ENG,"2022","9999","The exam is oral with written preparation. Requirements for the exam correspond to the syllabus of the course in the extent that has been covered in the lecture.
"
NAIL062,S,CZE,"2017","9999","Výroková logika: základní syntax a sémantika, normální tvary formulí, problém splnitelnosti. Tablo metoda a rezoluce ve výrokové logice. Věta o úplnosti výrokové logiky.

Predikátová logika: základní syntax a sémantika, prenexní tvary formulí, vlastnosti a modely teorií 1. řádu. Tablo metoda a rezoluce v predikátové logice. Skolemova věta, Herbrandova věta. Věta o úplnosti predikátové logiky, kompaktnost.

Kompletnost a její kritéria, rozhodnutelnost. Meze formální metody, Gödelovy věty. 
"
NAIL062,S,ENG,"2017","9999","Propositional logic: elementary syntax and semantics, normal forms of propositional formulas, problem of satisfiability. Tableau method and resolution in propositional logic. Completeness theorem for propositional logic.

Predicate (first-order) logic: elementary syntax and semantics, prenex normal form of formulas, properties and models of first-order theories. Tableau method and resolution for predicate logic. Skolem's theorem, Herbrand's theorem. Completeness theorem for predicate logic, compactness.

Criteria for completeness, decidability. Limits of formal methods, Goedel's theorems. 
"
NAIL068,A,ENG,"2004","9999","In this course, we will study human-like artificial agents, that is autonomous intelligent agents situated in a virtual 
environment similar to real world that act like humans. The course gives an overview of types of such agents and 
their architectures with the emphasis on the problem of action selection. The course also focuses on solving 
practical issues related to real-time and partially observable environments.
"
NAIL068,C,ENG,"2017","9999","To give the student an overview about artificial beings as embodied intelligent agents, whose decision-making is subject to the bounded rationality."
NAIL068,E,CZE,"2018","9999","Podmínkou zakončení předmětu je získat zápočet za řešení praktických úloh ze cvičení a následně složení prakticky orientované zkoušky."
NAIL068,L,CZE,"2017","9999","Bratman, M. (1999). Intention, plans, and practical reason. Center for the Study of Language and Information.
Brooks, A. R.: Intelligence without reason. In: Proceedings of the 1991 International Joint Conference on Artificial Intelligence, Sydney (1991) 569-595
Bryson, J.: Hierarchy and sequence vs. full parallelism in reactive action selection architecture. In: From Animals to Animats (SAB00). MA. MIT Press, Cambridge (2000) 147-156
Černý, M., Plch, T., Marko, M., Ondráček, P., & Brom, C. (2014). Smart Areas: A Modular Approach to Simulation of Daily Life in an Open World Video Game. 6th International Conference on Agents and Artificial Intelligence (ICAART 2014), 703–708.
Edelstein-Keshet, L: Mathematical Models in Biology. SIAM (2005) (Ch. 4.1, 4.2, 6.1 - 6.3)
Fu, D., & Houlette, R. (2004). The Ultimate Guide to FSMs in Games. In S. Rabin (Ed.), AI Game Programming Wisdom (First, Vol. 2, pp. 283–302). Massachusetts, USA: Charles River Media.
Grand, S., Cliff, D., Malhotra, A.: Creatures: Artificial life autonomous software-agents for home entertainment. In: Lewis Johnson, W. (eds.): Proceedings of the First International Conference on Autonomou Agents. ACM press (1997) 22-29
Hindriks KV, (2009). Programming Rational Agents in GOAL, Multi-Agent Programming: Languages and Tools and Applications, Springer US, pages:119-157, isbn: 978-0-387-89298-6
Huber, M. J.: JAM: A BDI-theoretic mobile agent architecture. In: Proceedings of the Third International Conference on Autonomous Agents (Agents'99). Seatle (1999) 236-243
Champandard, A. J. (2008). Behavior Trees for Next-Gen Game AI [Video]. Retrieved from http://aigamedev.com/insider/presentations/behavior-trees [17.5.2017]
Kokko, H.: Modelling for Field Biologists and Other Interesting People. Cambridge University Press (2007)
Laird, J. E., Newell, A., Rosenbloom, P.S.: SOAR: An Architecture for General Intelligence. In: Artificial Intelligence, 33(1) (1987) 1-64
Mateas, M.: Interactive Drama, Art and Artificial Intelligence. Ph.D. Dissertation. Department Computer Science, Carnegie Mellon University (2002) viz též: https://eis-blog.soe.ucsc.edu/2012/02/getting-started-with-abl/
Orkin, J. (2006). Three States and a Plan: The AI of F.E.A.R. In Proceedings of the Game Developers Conference (GDC).
Rao, A. S., & Georgeff, M. P. (1995). BDI Agents: From Theory to Practice. Proceedings of the First International Conference on Multi-Agent Systems (ICMAS-95), San Francisco, USA, 1995, 312--319. 
Rabin, S. (ed.): AI Game Programming Wisdom I - IV, Charles River Media (2002 - 8)
Steve Rabin (ed.). Game AI Pro : collected wisdom of game AI professionals, 2013 (Ch. 6)
Tyrrell, T.: Computational Mechanisms for Action Selection. Ph.D. Dissertation. Centre for Cognitive Science, University of Edinburgh (1993)"
