"POVINN","PKLAS"
NAIL002,INFTCS
NAIL029,INFTCS
NAIL031,INFTCS
NAIL035,INFTCS
NAIL035,MATALG
NAIL053,INFTCS
NAIL054,INFTCS
NALG001,MATALG
NALG002,MATALG
NALG007,MATALG
NALG008,MATALG
NALG009,MATALG
NALG012,MATALG
NALG015,MATALG
NALG017,MATALG
NALG018,MATALG
NALG021,MATALG
NALG022,MATALG
NALG023,MATALG
NALG024,MATALG
NALG025,MATALG
NALG025,MATGEM
NALG028,MATALG
NALG029,MATALG
NALG030,MATALG
NALG031,MATALG
NALG031,MATMAT
NALG033,MATALG
NALG059,MATALG
NALG060,MATALG
NALG066,MATALG
NALG067,MATALG
NALG068,MATALG
NALG070,MATALG
NAST003,PHYAST
NBCM004,PHYBPH
NBCM007,PHYBPH
NBCM008,PHYBPH
NBCM009,PHYBPH
NBCM011,PHYBPH
NBCM012,PHYBPH
NBCM014,PHYBPH
NBCM015,PHYBPH
NBCM018,PHYBPH
NBCM023,PHYBPH
NBCM030,PHYBPH
NBCM032,PHYBPH
NBCM038,PHYBPH
NBCM046,PHYBPH
NBCM050,PHYBPH
NBCM052,PHYBPH
NBCM053,PHYBPH
NBCM055,PHYBPH
NBCM066,PHYBPH
NBCM067,PHYBPH
NBCM075,PHYBPH
NBCM076,PHYBPH
NBCM078,PHYBPH
NBCM079,PHYBPH
NBCM083,PHYBPH
NBCM084,PHYBPH
NBCM085,PHYBPH
NBCM088,PHYBPH
NBCM091,PHYBPH
NBCM094,PHYBPH
NBCM095,PHYBPH
NBCM096,PHYBPH
NBCM098,PHYBPH
NDBI001,INFDBS
NDBI003,INFDBS
NDBI007,INFDBS
NDFY002,PHYTEA
NDFY003,PHYTEA
NDFY004,PHYTEA
NDFY010,PHYTEA
NDFY011,PHYTEA
NDFY012,PHYTEA
NDFY013,PHYTEA
NDFY014,PHYTEA
NDFY022,PHYTEA
NDFY024,PHYTEA
NDFY029,PHYTEA
NDGE001,MATGEM
NDGE002,MATGEM
NDGE003,MATGEM
NDGE006,MATGEM
NDGE007,MATGEM
NDGE008,MATGEM
NDGE010,MATGEM
NDGE011,MATGEM
NDGE012,MATGEM
NDGE013,MATDID
NDGE014,MATGEM
NDIM001,MATDID
NDIN002,INFDID
NDIR001,MATDEQ
NDIR004,MATDEQ
NDIR005,MATDEQ
NDIR009,MATDEQ
NDIR009,MATFNC
NDIR012,MATDEQ
NDIR028,MATDEQ
NDIR035,MATDEQ
NDIR036,MATDEQ
NDIR039,MATDEQ
NDIR041,MATDEQ
NDIR041,MATSTP
NDIR042,MATDEQ
NDIR043,MATDEQ
NDIR050,MATDEQ
NDIR055,MATDEQ
NDMA001,INFDIS
NDMA001,MATDIS
NDMA005,INFDIS
NDMA005,MATDIS
NDMI002,INFDIS
NDMI009,INFDIS
NDMI011,INFDIS
NDMI012,INFDIS
NDMI013,INFDIS
NDMI022,INFDIS
NDMI027,INFTCS
NDMI028,INFDIS
NDMI035,INFDIS
NDMI036,INFDIS
NDMI037,INFDIS
NDMI041,INFDIS
NDMI042,INFDIS
NDMI045,INFDIS
NDMI046,INFDIS
NDMI048,INFDIS
NEKN001,MATECO
NEKN001,MATSTP
NEKN003,MATECO
NEKN004,MATFIN
NEKN004,MATOPT
NEKN004,MATSTP
NEKN005,MATECO
NEKN007,MATECO
NEKN007,MATSTP
NEKN008,MATECO
NEKN008,MATOPT
NEKN009,MATECO
NEKN010,MATECO
NEKN011,MATOPT
NEKN024,MATECO
NEKN024,MATSTP
NEKN026,MATFIN
NEKN026,MATOPT
NEKN026,MATSTP
NEVF010,PHYSUR
NEVF025,PHYSUR
NEVF030,PHYSUR
NEVF031,PHYSUR
NEVF044,PHYSUR
NEVF047,PHYSUR
NEVF063,PHYSUR
NEVF067,PHYSUR
NEVF076,PHYSUR
NEVF077,PHYSUR
NEVF078,PHYSUR
NEVF079,PHYSUR
NEVF082,PHYSUR
NEVF086,PHYSUR
NEVF087,PHYSUR
NFAP001,MATFIN
NFAP002,MATFIN
NFAP004,MATFIN
NFAP005,MATECO
NFAP005,MATOPT
NFAP006,MATFIN
NFAP007,INFAPL
NFAP007,MATFIN
NFAP007,MATSTP
NFAP008,MATFIN
NFAP009,MATFIN
NFAP011,MATFIN
NFAP012,MATFIN
NFAP013,MATFIN
NFAP014,MATFIN
NFAP015,MATFIN
NFAP016,MATFIN
NFAP017,MATFIN
NFAP019,LAWFIN
NFAP019,MATFIN
NFAP022,MATFIN
NFAP024,MATFIN
NFAP031,MATFIN
NFAP034,MATFIN
NFAP034,MATSTP
NFAP035,MATECO
NFAP035,MATOPT
NFOE001,PHYEXT
NFOE002,PHYEXT
NFOE003,PHYEXT
NFOE004,PHYEXT
NFOE005,PHYEXT
NFOE006,PHYEXT
NFOE007,PHYEXT
NFOE008,PHYEXT
NFOE012,PHYEXT
NFPL006,PHYSOL
NFPL009,PHYSOL
NFPL010,PHYSOL
NFPL011,PHYSOL
NFPL018,PHYSOL
NFPL020,PHYSOL
NFPL031,PHYSOL
NFPL034,PHYSOL
NFPL037,PHYSOL
NFPL043,PHYSOL
NFPL045,PHYSOL
NFPL049,PHYSOL
NFPL054,PHYSOL
NFPL056,PHYSOL
NFPL060,PHYSOL
NFPL067,PHYSOL
NFPL072,PHYSOL
NFPL074,PHYSOL
NFPL075,PHYSOL
NFPL083,PHYSOL
NFPL086,PHYSOL
NFPL087,PHYSOL
NFPL088,PHYSOL
NFPL091,PHYSOL
NFPL092,PHYSOL
NFPL094,PHYSOL
NFPL096,PHYSOL
NFPL097,PHYSOL
NFPL099,PHYSOL
NFPL100,PHYSOL
NFPL102,PHYSOL
NFPL104,PHYSOL
NFPL106,PHYSOL
NFPL108,PHYSOL
NFPL109,PHYSOL
NFPL112,PHYSOL
NFPL113,PHYSOL
NFPL118,PHYSOL
NFPL119,PHYSOL
NFPL122,PHYSOL
NFUE001,PHYTEA
NGEM001,MATGEM
NGEM002,MATGEM
NGEM003,MATGEM
NGEM004,MATGEM
NGEM005,MATGEM
NGEM007,MATGEM
NGEM010,MATGEM
NGEM011,MATGEM
NGEM012,MATGEM
NGEM013,MATGEM
NGEM014,MATGEM
NGEM030,MATGEM
NGEO002,PHYGEO
NGEO003,PHYGEO
NGEO005,PHYGEO
NGEO006,PHYGEO
NGEO007,PHYGEO
NGEO008,PHYGEO
NGEO009,PHYGEO
NGEO010,PHYGEO
NGEO011,PHYGEO
NGEO012,PHYGEO
NGEO013,PHYGEO
NGEO014,PHYGEO
NGEO015,PHYGEO
NGEO016,PHYGEO
NGEO017,PHYGEO
NGEO018,PHYGEO
NGEO019,PHYGEO
NGEO021,PHYGEO
NGEO022,PHYGEO
NGEO025,PHYGEO
NGEO026,PHYGEO
NGEO027,PHYGEO
NGEO028,PHYGEO
NGEO029,PHYGEO
NGEO030,PHYGEO
NGEO031,PHYGEO
NGEO032,PHYGEO
NGEO033,PHYGEO
NGEO034,PHYGEO
NGEO035,PHYGEO
NGEO036,PHYGEO
NGEO037,PHYGEO
NGEO038,PHYGEO
NGEO039,PHYGEO
NGEO041,PHYGEO
NGEO042,PHYGEO
NGEO043,PHYGEO
NGEO044,PHYGEO
NGEO045,PHYGEO
NGEO046,PHYGEO
NGEO048,PHYGEO
NGEO049,PHYGEO
NGEO050,PHYGEO
NGEO051,PHYGEO
NGEO052,PHYGEO
NGEO057,PHYGEO
NGEO059,PHYGEO
NGEO061,PHYGEO
NGEO063,PHYGEO
NGEO066,PHYGEO
NHIF079,PHYSOL
NHIF136,PHYSOL
NJAZ017,INFGEN
NJAZ017,MATGEN
NJAZ017,PHYGEN
NJAZ024,MATMAT
NJAZ039,INFGEN
NJAZ039,MATGEN
NJAZ039,PHYGEN
NJAZ040,INFGEN
NJAZ040,MATGEN
NJAZ040,PHYGEN
NJAZ041,INFGEN
NJAZ041,MATGEN
NJAZ041,PHYGEN
NJAZ042,INFGEN
