"POVINN","PNAZEV","PANAZEV","VPLATIOD","VPLATIDO","PFAKULTA","PGARANT","PVYUCOVAN","VSEMZAC","VSEMPOC","PVYJAZYK","VROZSAHPR1","VROZSAHCV1","VROZSAHPR2","VROZSAHCV2","VRVCEM","VTYP","VEBODY","VUCIT1","VUCIT2","VUCIT3","PPOCMIN","PPOCMAX"
N#EK009,Kredity za uznané povinně volitelné předměty,,"2007","2021","11320",,V,,,CZE,,,,,,,,,,,,
N#EK009,Kredity za uznané povinně volitelné předměty,,"2022","9999","11320",,Z,,,CZE,,,,,,,,,,,,
N#EK010,Kredity za uznané povinné předměty,,"2007","2021","11320",,V,,,CZE,,,,,,,,,,,,
N#EK010,Kredity za uznané povinné předměty,,"2022","9999","11320",,Z,,,CZE,,,,,,,,,,,,
N#FF001,OFY35 a TMF003,OFY35 and TMF003,"1348","9999","11320",,V,,,,,,,,,,,,,,,
N#FL001,Povinně volitelné předměty ML,Compulsory Optional Courses ML,"2004","9999","11320","32-UFAL",V,,,,,,,,,,,,,,,
N#FM032,Semináře - BCHF/CHF,Seminars - BCHF/CHF,"2004","9999","11320","32-KCHFO",V,,,,,,,,,,,,,,,
N#FM037,Semináře - AA/AST031,Seminars - AA/AST031,"2004","9999","11320","32-STUD",V,,,,,,,,,,,,,,,
N#FM335,Semináře - BF/BCM006,Seminars - BF/BCM006,"2005","9999","11320","32-FUUK",V,,,,,,,,,,,,,,,
N#FM338,Semináře - CHF/BCM044,Seminars - CHF/BCM044,"2003","9999","11320","32-FUUK",V,,,,,,,,,,,,,,,
N#FM350,Povinné předměty SZZ - AA,Core Courses for Final State Examination - AA,"2010","9999","11320","32-AUUK",V,,,,,,,,,,,,,,,
N#FM371,Výběrově povinné předměty k SZZ - FKSM/FM,Optional Core Courses for Final State Examination - FKSM/FM,"2005","9999","11320","32-KFKL",V,,,,,,,,,,,,,,,
N#FM384,Povinné bakal. předměty k SZZ - FPIP,Core Bachelor Courses for Final State Examination - FPIP,"2005","9999","11320","32-KFPP",V,,,,,,,,,,,,,,,
N#FM979,Povinně volitelné předměty k SZZ 1 - OOE/KNO,Compulsory Optional Courses for Final State Examination 2 - Optics and Optoelectronics/KNO,"2020","9999","11320","32-KCHFO",V,,,CZE,,,,,,,,,,,,
N#IA022,Složitost I a Vyčíslitelnost I,,"2008","9999","11320","32-KTIML",V,,,CZE,,,,,,,,,,,,
N#IB301,Povinné předměty ochrana informací před SZZ Bc.104 b.,Core Courses in Information Security before Final State Examination BA104 b.,"2005","9999","11320","32-KA",V,,,,,,,,,,,,,,,
N#IN007,Navazující informatika 03/04 - povinně volitelné předměty obor ML,Continuation Computer Science 03/04 - Compulsory Optional Courses for ML majors,"2004","9999","11320","32-STUD",V,,,,,,,,,,,,,,,
N#IN328,Povinné předměty obor SI Mgr.,Core Courses for SI MA majors,"2011","9999","11320","32-KSI",V,,,,,,,,,,,,,,,
N#IN338,Povinně vol. předměty obor DS Mgr. R3,Compulsory Optional Courses for DS MA R3 majors,"2011","9999","11320","32-KTIML",V,,,,,,,,,,,,,,,
N#IN340,Povinně vol. předměty obor SS+SA Mgr. R5,Compulsory Optional Courses for SS+SA MA R5 majors,"2015","9999","11320","32-KTIML",V,,,CZE,,,,,,,,,,,,
N#IN932,Povinné předměty obor SS Mgr. R10,Core Courses for SS MA majors,"2017","9999","11320","32-KDSS",V,,,CZE,,,,,,,,,,,,
N#MA021,PVP3 MZU+FIL,,"2014","9999","11320",,V,,,CZE,,,,,,,,,,,,
N#MC013,Povinně volitelné předměty PVP5b,,"2014","9999","11320",,V,,,CZE,,,,,,,,,,,,
N#MD121,Povinné předměty učitelství M-DG 2.s. Bc.,Core Courses in Teaching M-DG 2nd semester BA,"2004","9999","11320","32-KDM",V,,,,,,,,,,,,,,,
N#MD303,Povin. výběrové předm. M-DG Mgr.,Optional Core Courses M-DG MA,"2003","9999","11320","32-KDM",V,,,,,,,,,,,,,,,
N#MI111,Povinné předměty učitelství M-I 1.s. Bc.,Core Courses in Teaching M-I 1st semester BA,"2004","9999","11320",,V,,,,,,,,,,,,,,,
N#MM014,Blok B oboru Finanční a pojistná matematika,Block B for Financial and Actuarial Mathematics majors,"2006","9999","11320","32-STUD",V,,,,,,,,,,,,,,,
N#MM015,Blok B oboru Matematické a poč. modelování,Block B for Mathematical and Computer Modelling majors,"2001","9999","11320","32-STUD",V,,,,,,,,,,,,,,,
N#MM300,Povin. bakal. předměty k Finanční a pojistná matem.,Core Bachelor Courses for Financial and Actuarial Mathematics,"2006","9999","11320","32-KPMS",V,,,,,,,,,,,,,,,
N#MM307,Předměty KMA R1,KMA R1 Courses,"2007","9999","11320","32-KMA",V,,,,,,,,,,,,,,,
N#MM334,Povin. vol. předm. Matematické struktury,Optional Core Courses Mathematical Structure,"2011","9999","11320",,V,,,CZE,,,,,,,,,,,,
N#MM613,Povin. předměty oboru Matematické a poč. modelování,Core Courses for Mathematical and Computer Modelling majors,"2013","9999","11320","32-MUUK",V,,,,,,,,,,,,,,,
N#MM734,Povin. vol. předm. Matematické struktury,Optional Core Courses Mathematical Structure,"2018","9999","11320",,V,,,CZE,,,,,,,,,,,,
N#MP129,Skupina STR,,"2019","9999","11320","32-KMA",V,,,CZE,,,,,,,,,,,,
N#MS012,"jeden z EKN011, EKN012, MAT059, OPT32","one of EKN011, EKN012, MAT059, OPT32","2001","9999","11320",,Z,,,,,,,,,,,,,,,
N#MS054,Ekonometrie,Econometrics,"2008","9999","11320","32-KPMS",V,,,CZE,,,,,,,,,,,,
N#NV503,"Předměty NMNV501 a NMNV534, místo nichž je nově NMNV503",,"2020","2020","11320","32-KNM",V,,,CZE,,,,,,,,,,,,
N#NV503,"Předměty NMNV501 a NMNV534, místo nichž je nově NMNV503",,"2021","9999","11320","32-KNM",V,,,CZE,,,,,,,,,,,,
N#OF111,Povinné předměty odborná fyzika 1.s. Bc.,Core Courses in Specialist Physics 1st semester BA,"2004","9999","11320","32-KVOF",V,,,,,,,,,,,,,,,
N#OF300,Výběrově povinné předměty odborná fyzika Bc.,Optional Core Courses in Specialist Physics BA,"2005","9999","11320","32-KVOF",V,,,,,,,,,,,,,,,
N#OM121,Povinné předměty obecná matematika 2.s. Bc.,Core Courses in General Mathematics 2nd semester BA,"2007","9999","11320","32-KMA",V,,,,,,,,,,,,,,,
N#OM130,Povinné předměty obecná matematika před SZZ Bc.,Core Courses in General Mathematics before Final State Examination BA,"2005","9999","11320",,V,,,,,,,,,,,,,,,
N#OM302,Povinné předměty obecná matematika před SZZ Bc.82 b.,Core Courses in General Mathematics before Final State Examination BA82 b.,"2004","9999","11320",,V,,,,,,,,,,,,,,,
N#PE303,Povinné pedagogické předměty učitelství Mgr.,Core Pedagogical Courses in Teaching MA,"2006","9999","11320","32-KDF",V,,,,,,,,,,,,,,,
N#PS110,Profilující předměty správa poč. systémů Bc.,Major Courses in Computer Systems Administration BA,"2004","9999","11320",,V,,,,,,,,,,,,,,,
N#RC015,Učitelství informatika I. ročník,Computer Science Teaching 1st year,"2001","9999","11320",,Z,,,,,,,,,,,,,,,
N#SS338,Povinně volitelné předměty PRG v SPS Bc. R4,Compulsory Optional Courses PRG in SPS BA R4,"2011","9999","11320","32-KSVI",V,,,CZE,,,,,,,,,,,,
N#TV017,Tělesná výchova Bc. R4,,"2013","9999","11320",,V,,,CZE,,,,,,,,,,,,
N#UD002,UDeskriptivní geometrie-povinné př. k SZZ,Descriptive Geometry Teaching - Core Courses for Final State Examination,"2001","9999","11320","32-STUD",V,,,,,,,,,,,,,,,
N#UF001,UFY028 a UFY029,UFY028 and UFY029,"1348","9999","11320",,V,,,,,,,,,,,,,,,
N#UZ006,UZákladní školy-Matematika výběrové př.,Primary School Teaching - Mathematics Optional Courses,"2001","9999","11320","32-STUD",V,,,,,,,,,,,,,,,
N#UZ007,UPedagogické předměty pro ZŠ,Pedagogical Courses in Primary School Teaching,"2005","9999","11320","32-STUD",V,,,,,,,,,,,,,,,
N#XF760,Povinné předměty informační bezp. před SZZ Bc.,Core Courses in Information Security before Final State Examination BA,"2019","9999","11320","32-KA",V,,,CZE,,,,,,,,,,,,
N#XF910,Informatika zaměřená na vzdělávání POV Bc.,,"2019","9999","11320",,V,,,CZE,,,,,,,,,,,,
N#XI304,Povinné předměty obor SS Mgr.,Core Courses for SS MA majors,"2019","9999","11320","32-KSI",V,,,,,,,,,,,,,,,
N#XI927,Povinné předměty obor SS Mgr.,Core Courses for SS MA majors,"2019","9999","11320","32-KDSS",V,,,CZE,,,,,,,,,,,,
N#XI928,Povinné předměty obor SDI Mgr.,Core Courses for SDI MA majors,"2019","9999","11320","32-KSI",V,,,CZE,,,,,,,,,,,,
N#XL371,Povin. vol. předměty oboru Num. a výpočt. matematika,Optional Core Courses for Numerical and Computational Mathematics majors,"2019","9999","11320","32-KNM",V,,,,,,,,,,,,,,,
N#XP110,Profilující předměty programování Bc.,Major Courses in Programming BA,"2019","9999","11320",,V,,,,,,,,,,,,,,,
N#XR024,informatika 1r. bak. - R,,"2019","9999","11320",,V,,,,,,,,,,,,,,,
N#XS649,Povinně volitelné předměty SDI Bc. R9,Compulsory Optional Courses in SDI BA R9,"2019","9999","11320","32-KSVI",V,,,CZE,,,,,,,,,,,,
N#XX019,"NXXX007, NXXX008, NXXX009, NXXX051, NXXX052, NXXX053",,"2020","2021","11320",,V,,,CZE,,,,,,,,,,,,
N#XX019,"NXXX007, NXXX008, NXXX009, NXXX051, NXXX052, NXXX053",,"2022","9999","11320",,Z,,,CZE,,,,,,,,,,,,
N#XX025,"NXXX010, NXXX019, NXXX020, NXXX021, NXXX026, NXXX027, NXXX028, NXXX029, NXXX032, NXXX034, NXXX035, NXXX068",,"2019","2021","11320",,V,,,CZE,,,,,,,,,,,,
N#XX025,"NXXX010, NXXX019, NXXX020, NXXX021, NXXX026, NXXX027, NXXX028, NXXX029, NXXX032, NXXX034, NXXX035, NXXX068",,"2022","9999","11320",,Z,,,CZE,,,,,,,,,,,,
N#XX035,"NXXX014, NXXX016, NXXX017, NXXX022, NXXX023, NXXX024, NXXX025, NXXX030, NXXX031",,"2019","2021","11320",,V,,,CZE,,,,,,,,,,,,
N#XX035,"NXXX014, NXXX016, NXXX017, NXXX022, NXXX023, NXXX024, NXXX025, NXXX030, NXXX031",,"2022","9999","11320",,Z,,,CZE,,,,,,,,,,,,
N$FM100,Povinné předměty MFM Bc. před SZZ,Core Courses MFM BA before Final State Examination,"2003","9999","11320",,V,,,,,,,,,,,,,,,
