"POVINN","JAZYK","PLATIOD","PLATIDO"
NDMA005,ENG,"2014","9999"
NDMI002,ENG,"2020","9999"
NDMI009,ENG,"2021","2021"
NDMI010,CZE,"2021","9999"
NDMI010,ENG,"2016","2020"
NDMI011,ENG,"2020","2022"
NDMI011,ENG,"2023","9999"
NDMI012,ENG,"2019","9999"
NDMI013,ENG,"2017","2021"
NDMI013,ENG,"2022","9999"
NDMI014,ENG,"2018","9999"
NDMI015,ENG,"2018","2023"
NDMI018,ENG,"2017","2022"
NDMI022,ENG,"2021","9999"
NDMI025,CZE,"2020","9999"
NDMI028,ENG,"2016","9999"
NDMI036,ENG,"2018","9999"
NDMI045,ENG,"2018","2023"
NDMI052,CZE,"2018","9999"
NDMI055,CZE,"2015","9999"
NDMI056,ENG,"2014","9999"
NDMI058,ENG,"2017","2020"
NDMI059,CZE,"2017","2022"
NDMI060,CZE,"2019","2022"
NDMI060,ENG,"2023","9999"
NDMI065,ENG,"2015","9999"
NDMI066,ENG,"2017","9999"
NDMI067,ENG,"2017","9999"
NDMI073,CZE,"2022","9999"
NDMI077,CZE,"2017","9999"
NDMI083,ENG,"2014","9999"
NDMI084,ENG,"2020","9999"
NDMI085,CZE,"2024","9999"
NDMI085,ENG,"2015","2023"
NDMI087,CZE,"2023","9999"
NDMI087,ENG,"2014","2021"
NDMI088,ENG,"2019","9999"
NDMI089,ENG,"2020","2020"
NDMI089,ENG,"2021","2022"
NDMI089,ENG,"2023","9999"
NDMI090,ENG,"2015","9999"
NDMI091,ENG,"2015","9999"
NDMI092,ENG,"2016","9999"
NDMI093,ENG,"2020","9999"
NDMI094,ENG,"2016","9999"
NDMI095,CZE,"2018","2020"
NDMI095,CZE,"2021","9999"
NDMI096,ENG,"2019","9999"
NDMI098,ENG,"2018","9999"
NDMI099,CZE,"2018","9999"
NDMI100,CZE,"2020","9999"
NDMI106,CZE,"2019","9999"
NDMI107,CZE,"2019","9999"
NDMI110,ENG,"2021","9999"
NDMI115,ENG,"2021","9999"
NDMI116,ENG,"2021","9999"
