"POVINN","REQTYP","REQPOVINN"
NAIL002,N,NAIX002
NAIL002,N,NXXX038
NAIL002,N,NXXX039
NAIL002,N,NXXX040
NAIL002,N,NXXX067
NAIL002,N,NXXX069
NAIL002,Z,NAIX002
NALG001,Z,NMAG101
NALG002,Z,NMAG102
NALG007,P,NALG027
NALG008,K,NALG027
NALG008,P,NALG026
NALG009,K,NALG027
NALG009,P,NALG026
NALG012,N,NMAI031
NALG012,P,NALG027
NALG015,Z,NMAG460
NALG017,Z,NMAG337
NALG018,P,NGEM002
NALG018,Z,NMAG334
NALG021,Z,NMAG438
NALG022,Z,NMAG442
NALG023,K,NALG028
NALG023,P,NALG001
NALG023,P,NALG002
NALG024,P,NALG028
NALG028,Z,NMAG333
NALG029,Z,NMAG434
NALG031,Z,NMAG565
NALG033,P,NALG017
NALG033,Z,NMAG432
NALG066,P,N#IA015
NALG067,P,NALG027
NALG070,P,NALG027
NBCM008,P,NBCM012
NBCM011,P,NBCM010
NBCM012,N,NXXX001
NBCM012,N,NXXX002
NBCM012,P,NBCM010
NBCM018,P,NBCM010
NBCM050,Z,NBCM121
NBCM050,Z,NBCM122
NBCM075,Z,NBCM066
NDBI001,N,NDBI049
NDBI001,Z,NDBI049
NDBI007,N,NDBX007
NDBI007,Z,NDBX007
NDFY010,P,NUFY014
NDFY010,P,NUFY015
NDFY011,K,NDFY010
NDGE001,Z,NMUG101
NDGE002,Z,NMUG102
NDGE003,Z,NMUG106
NDGE006,Z,NMUG202
NDGE008,N,NMUG303
NDGE008,Z,NMUG303
NDGE010,N,NMUG204
NDGE010,Z,NMUG204
NDGE012,N,NMUG404
NDGE012,Z,NMUG404
NDGE013,N,NMUG405
NDGE013,Z,NMUG405
NDIN002,N,NDIN010
NDIN002,Z,NDIN010
NDIR004,P,NRFA006
NDIR005,K,NRFA006
NDIR005,P,NMAA021
NDIR012,N,NMMA333
NDIR012,Z,NMMA333
NDIR036,P,NDIR005
NDIR036,P,NMAA004
NDIR036,P,NRFA006
NDIR041,K,NSTP149
NDIR041,Z,NMTP543
NDIR042,Z,NMMO533
NDIR043,P,NDIR042
NDIR043,Z,NMMO534
NDIR050,Z,NMNV535
NDIR055,Z,NMMA464
NDMA001,Z,NDMI011
NDMA001,Z,NMIN331
NDMA004,N,NOPT041
NDMA004,Z,NOPT041
NDMA005,Z,NDMI002
NDMA005,Z,NMIN105
NDMI002,N,NDMA005
NDMI009,N,NXXX007
NDMI009,N,NXXX009
NDMI009,N,NXXX014
NDMI009,N,NXXX015
NDMI009,N,NXXX016
NDMI009,N,NXXX017
NDMI009,N,NXXX022
NDMI009,N,NXXX023
NDMI009,N,NXXX024
NDMI009,N,NXXX025
NDMI009,N,NXXX033
NDMI009,N,NDMX009
NDMI009,Z,NDMX009
NDMI011,N,NDMA001
NDMI011,N,NDMX011
NDMI011,Z,NDMX011
NDMI012,N,NXXX014
NDMI012,N,NXXX015
NDMI012,N,NXXX016
