"KOD","FAKULTA","NAZEV"
V,"11320",Všeobecné
VM,"11320",Výpočetní matematika
AP,"11320",Algebra v přírodních vědách
B,"11320",Fyzikální předmět pro bakaláře
BA,"11320",Business administration
B1,"11320",První ročník bak. studia M
AI,"11320",Algebra v informatice
B2,"11320",Předměty spol. základu 2. roč. bak. stud
DM,"11320",DM
DR,"11320",Diferenciální rovnice
DYN,"11320",Dynamika
EK,"11320",Ekonometrie
F,"11320",Fyzika
FB,"11320",Finanční matematika
FPM,"11320",Finanční a pojistná matematika
HA,"11320",Harmonická analýza
IM1,"11320",Informatika Mgr. - Teoretická informatika
IM2,"11320",Informatika Mgr. - Softwarové systémy
IM3,"11320",Informatika Mgr. - Matematická lingvistika
IM4,"11320",Informatika Mgr. - Diskrétní modely a algoritmy
IMU,"11320",Informatika Mgr. - učitelské studium informatiky
IM,"11320",Informatika Mgr. - volitelný
KG,"11320",Kombinatorická geometrie a geom. algorit
M,"11320",Matematika
MA,"11320",Mat. analýza
MAPO,"11320",Matematika a počítače
MDG,"11320",Matematika a deskriptivní geometrie
ME,"11320",Matematika a ekonomie
MI,"11320",Matematika a informatika
ML,"11320",Mat. logika a teorie množin
MMN,"11320",Matematika a management
MOD,"11320",Mat. modelování
MS,"11320",Mat. statistika
M1,"11320",První ročník M
M2,"11320",Předměty bloku A
NF,"11320",Nelineární funkcionální analýza
NT,"11320",NT
PAF,"11320",PAF
PB,"11320",Pojistná matematika
POJ,"11320",POJ
RG,"11320",Riemannova geometrie
STR,"11320","Mat. struktury, povinné předměty (blok B)"
TF,"11320","Teorie funkcí, funkc. analýza a teorie potenciálu"
TG,"11320",Teorie grafů a kombin. algoritmy
TP,"11320",Teorie pravděpodobnosti
TTK,"11320",Obecná topologie a teorie kategorií
UL,"11320",Universální algebra a mat. logika
UM,"11320",Učitelství matematiky
DF12,"11320","DS, obecné otázky fyziky"
DF1,"11320","DS, teoretická fyzika, astronomie a astrofyzika"
