"KOD","USTAV","FAKULTA","PRIJMENI","JMENO","TITULPRED","TITULZA"
"47426","32-KPMS","11320",Sladký,Karel,Ing.,CSc.
"47430","32-KPMS","11320",Vošvrda,Miloslav,prof. Ing.,CSc.
"12057","32-CERGE","11320",Turnovec,František,prof. RNDr.,CSc.
"13012","32-FSVUK","11320",Hlaváček,Michal,PhDr.,Ph.D.
"12304","32-FSVUK","11320",Hlaváček,Jiří,prof. RNDr.,CSc.
"13011","32-FSVUK","11320",Koubek,Ivo,Ing.,
"13021","32-FSVUK","11320",Dlouhý,Vladimír,Ing.,CSc.
"11480","32-KPMS","11320",Schneider,Ondřej,doc. Ing.,"M.Phil., Ph.D."
"48791","32-FSVUK","11320",Kouba,Karel,prof. Ing.,DrSc.
"31539","32-KPMS","11320",Mejstřík,Michal,prof. Ing.,CSc.
"76143","32-KPMS","11320",Pečená,Magda,Mgr.,Ph.D.
"16034","32-FSVUK","11320",Šmídová,Zuzana,Ing.,
"19987","32-KCHFO","11320",Hegyi,Juraj,MUDr.,
"37258","32-FUUK","11320",Bartoš,Aleš,prof. MUDr.,Ph.D.
"12018","32-PRFUK","11320",Mejsnar,Jiří,prof. RNDr.,DrSc.
"52185","32-KDM","11320",Vavřín,Zdeněk,RNDr.,
"48618","32-MUUK","11320",Břečková Chalupová,Eva,PhDr.,Ph.D.
"59496","32-KSVI","11320",Šefl,Vít,Mgr.,
"11645","32-FUUK","11320",Hájek,Milan,Ing.,DrSc.
"52006","32-KPMS","11320",Schejbalová,Miriam,MUDr.,Ph.D.
"21376","32-KA","11320",Kvasz,Ladislav,prof. RNDr.,"DSc., Dr."
"11811","32-KDF","11320",Pavelková,Isabella,doc. PhDr.,CSc.
"91130","32-KDM","11320",Zhouf,Jaroslav,doc. RNDr.,Ph.D.
"12640","32-PEDFUK","11320",Novotná,Jarmila,prof. RNDr.,CSc.
"47422","32-MUAV","11320",Tichá,Marie,Mgr.,CSc.
"47415","32-PEDFUK","11320",Hejný,Milan,prof. RNDr.,CSc.
"43968","32-#EXT","11320",Cmarko,Dušan,doc. RNDr.,Ph.D.
"10779","32-KPMS","11320",Lánský,Petr,doc. RNDr.,DrSc.
"32345","32-IUUK","11320",IUUK,,,
"45491","32-#EXT","11320",Šefc,Luděk,RNDr.,CSc.
"88658","32-KJP","11320",Cita,Stanislav,PhDr.,CSc.
"11957","32-FFUK","11320",Jirků,Petr,doc. PhDr.,CSc.
"11746","32-KTIML","11320",Savický,Petr,RNDr.,CSc.
"11759","32-UFAL","11320",Rosen,Alexandr,Ing.,Ph.D.
"32368","32-UCJF","11320",Bilka,Tadeáš,RNDr.,Ph.D.
"32369","32-UCJF","11320",Kadavý,Tomáš,RNDr.,Ph.D.
"68294","32-UFAL","11320",Malá,Markéta,doc. PhDr.,Ph.D.
"14538","32-UPOL","11320",Nezvalová,Danuše,prof. RNDr.,CSc.
"29096","32-FGUAV","11320",Otáhal,Jakub,prof. MUDr.,Ph.D.
"18986","32-FGUAV","11320",Zemková,Hana,RNDr.,CSc.
"20582","32-#EXT","11320",Riljak,Vladimír,doc. MUDr.,Ph.D.
"13648","32-KCHFO","11320",Nachtigallová,Dana,RNDr.,Ph.D.
"13690","32-KPMS","11320",Klement,Daniel,MUDr. Mgr.,Ph.D.
"86474","32-FUUK","11320",Cvačka,Josef,doc. RNDr.,Ph.D.
"33785","32-FUUK","11320",Machalová Šišková,Karolína,doc. RNDr. Mgr.,Ph.D.
"10820","32-KCHFO","11320",Špirko,Vladimír,Ing.,DrSc.
"45494","32-UMCHAV","11320",Výprachtický,Drahomír,Ing.,CSc.
"13647","32-KCHFO","11320",Bludský,Ota,RNDr.,CSc.
"39495","32-KFNT","11320",Dračínský,Martin,doc. RNDr.,Ph.D.
"39589","32-UFCHAV","11320",Civiš,Svatopluk,prof. RNDr.,"CSc., DSc."
"52173","32-UOCHAV","11320",Rosenberg,Ivan,Ing.,CSc.
"57575","32-KSI","11320",Novotný,Marian,Mgr.,Ph.D.
"38548","32-PRFUK","11320",Dolejš,David,prof.,Ph.D.
"12258","32-KFA","11320",Huth,Radan,prof. RNDr.,DrSc.
"98832","32-FUUK","11320",Košovan,Peter,doc. RNDr.,Ph.D.
"33014","32-KCHFO","11320",Jindřich,Jindřich,doc. RNDr.,CSc.
"23014","32-KFNT","11320",Pfleger,Jiří,RNDr.,CSc.
"74074","32-FUUK","11320",Kotek,Jan,prof. RNDr.,Ph.D.
"58753","32-KJP","11320",Šafařík,Luděk,RNDr. Mgr.,
"12063","32-#EXT","11320",Mls,Jiří,doc. RNDr.,CSc.
"34467","32-PRFUK","11320",Šmejkal,Petr,doc. RNDr.,Ph.D.
"95168","32-FUUK","11320",Bačáková,Lucie,doc. MUDr.,CSc.
"11355","32-UTF","11320",Nezbeda,Ivo,prof. RNDr.,DrSc.
"92665","32-FUUK","11320",Štěpánek,Miroslav,prof. RNDr.,Ph.D.
"51478","32-UFCHAV","11320",Srnec,Martin,RNDr.,"Ph.D., DSc."
"71895","32-FUUK","11320",Horák,Daniel,Ing.,CSc.
"28127","32-PRFUK","11320",Karpenko,Vladimír,prof. RNDr.,CSc.
"47421","32-PRFUK","11320",Sládek,Ivan,RNDr.,CSc.
"52176","32-KSI","11320",Saic,Stanislav,Ing.,CSc.
"12027","32-PRFUK","11320",Rieder,Milan,prof.,"prom. geol., Ph.D."
"52092","32-KPMS","11320",Pecková,Monika,RNDr.,Ph.D.
"74075","32-KCHFO","11320",Mosinger,Jiří,prof. RNDr.,Ph.D.
"12034","32-PRFUK","11320",Strauch,Bohuslav,doc. RNDr.,CSc.
"11984","32-PRFUK","11320",Neubauer,Zdeněk,prof. PhDr. RNDr.,
"12040","32-PRFUK","11320",Zadražil,Stanislav,prof. RNDr.,DrSc.
"12037","32-PRFUK","11320",Vondrejs,Vladimír,doc. RNDr.,DrSc.
"90501","32-PRFUK","11320",Vojtíšek,Pavel,doc. RNDr.,CSc.
"52183","32-#EXT","11320",Ulrich,Stanislav,RNDr.,Ph.D.
"21646","32-PRFUK","11320",Braniš,Martin,prof. RNDr.,CSc.
"10998","32-PRFUK","11320",Rubešová,Jana,RNDr.,Ph.D.
"33673","32-ZCU","11320",Kohout,Josef,doc. MUDr.,CSc.
"15562","32-#EXT","11320",Zycki,Piotr,Prof.,
"52066","32-UTIAAV","11320",Jiroušek,Radim,prof.,DrSc.
"18385","32-KFM","11320",Veselý,Jozef,Mgr.,Ph.D.
"18387","32-UCJF","11320",Malý,Libor,,
"14446","32-KA","11320",Budiš,Petr,Ing.,Ph.D.
"16280","32-KPMS","11320",Kotík,Lukáš,RNDr.,Ph.D.
"15383","32-#EXT","11320",Lykhach,Yaroslava,Mgr.,Ph.D.
"15577","32-AUUK","11320",Dovčiak,Michal,RNDr.,Ph.D.
"15578","32-FZUAV","11320",Gregora,Ivan,Ing.,CSc.
"16179","32-#EXT","11320",Baldwin,Timothy,Prof.,Ph.D.
