"POVINN","UCIT"
NTIN066,"11103"
NTIN061,"90906"
NMMB415,"11063"
NFPL135,"18969"
NOFY088,"11977"
NOFY141,"11494"
NMAG407,"12463"
NMAI057,"44027"
NMFP533,"66149"
NTIN022,"75254"
NCGD008,"54720"
NMFP407,"77664"
NBCM179,"11371"
NDMI002,"11098"
NUIN021,"23828"
NMTD103,"18359"
NPRG030,"13270"
NSWI142,"43653"
NAIL131,"27504"
NAIL130,"78661"
NMSA602,"24142"
NFPL124,"12591"
NFPL124,"11438"
NMAG531,"12673"
NMAG442,"82230"
NMMA101,"11491"
NMMB411,"12129"
NBCM233,"11724"
NBCM233,"55328"
NOFY080,"14073"
NFPL152,"11064"
NDBI025,"30014"
NPRG030,"11369"
NPRG062,"59496"
NMEK511,"13578"
NBCM018,"11979"
NBCM080,"47197"
NJAZ072,"58753"
NJAZ091,"58753"
NJAZ091,"10853"
NTIN061,"96680"
NMAI069,"11279"
NEVF126,"11706"
NEVF128,"11320"
NEVF151,"12367"
NEVF173,"11747"
NEVF191,"11706"
NEVF501,"13377"
NEVF503,"11359"
NEVF506,"11747"
NEVF524,"11564"
NEVF534,"12110"
NFOE008,"12494"
NFOE016,"12494"
NFOE016,"64438"
NFOE018,"12494"
NPRG062,"11282"
NPRG041,"88580"
NFPL043,"12448"
NFPL045,"11838"
NFPL049,"13439"
NFPL078,"18085"
NFPL091,"11438"
NFPL145,"18084"
NFPL144,"11337"
NFPL145,"11066"
NJSF006,"25410"
NJSF044,"11839"
NJSF047,"24303"
NJSF057,"11580"
NJSF086,"11092"
NJSF137,"11453"
NJSF142,"12511"
NFPL156,"15269"
NFPL157,"12853"
NFPL171,"11476"
NFPL175,"11841"
NFPL182,"11605"
NFPL186,"11593"
NFPL187,"10864"
NFPL204,"29535"
NFPL216,"12478"
NFPL243,"22962"
NFPL253,"12837"
NFPL306,"18084"
NMET010,"13635"
NMET012,"29846"
NMMA331,"11466"
NFPL801,"11757"
NFUF305,"17184"
NFUF501,"11486"
NFUF502,"11034"
NFUF702,"11221"
NFUF703,"13439"
NFUF828,"14077"
NGEO030,"43439"
NGEO086,"11099"
NJAZ101,"92813"
NJSF125,"12511"
NJSF143,"18359"
NJSF157,"70760"
NJSF191,"11305"
NJSF191,"12347"
NMAF013,"12707"
NMAG481,"11467"
NMET063,"10832"
NMMO212,"89529"
NMMO432,"11112"
NMMO461,"10997"
NMNV540,"11852"
NMAG433,"37386"
NMAG434,"69570"
NMAG467,"11614"
NMAG467,"11769"
NMAG585,"11572"
NOFY056,"11325"
NMET507,"41772"
NMET511,"10786"
NMET528,"13359"
NMMA201,"11583"
NFUF203,"11510"
NMEK605,"11138"
NMET019,"13359"
NMET032,"12811"
NMET036,"12089"
NMFP501,"11380"
NMFP503,"24327"
NMFY160,"11143"
NMIN331,"11406"
NMIN365,"10734"
NMMA361,"11560"
NMMA452,"11336"
NMMA479,"16543"
NMMA569,"79147"
NMMB501,"17391"
NMMB531,"12129"
NMMO327,"12416"
NMMO539,"12416"
NMMO599,"13217"
NMNM201,"47182"
NMNM201,"89529"
NMNV401,"11500"
NMNV411,"62138"
NOFY022,"20021"
NDMI073,"97489"
NJSF194,"11305"
NJSF194,"12594"
NMSA405,"12178"
NMAG570,"13176"
NMTD511,"16457"
NMTM103,"12947"
NMTM103,"20791"
NMTM161,"17787"
NMTM307,"24234"
NMTM331,"17787"
NMTM462,"83601"
NMTM501,"17787"
NMTM511,"11914"
NMTP533,"35910"
NOFY003,"20429"
NTIN061,"65641"
NPRG045,"12088"
NPFL006,"11010"
NOFY047,"11289"
NOFY052,"11348"
NOFY052,"11783"
NOFY055,"12704"
NOFY064,"11783"
NMMB309,"38463"
NMMA654,"77575"
NMSA333,"35910"
NFPL800,"12706"
NOOE040,"11510"
NOOE071,"12789"
NOOE123,"15147"
NOOE127,"89934"
NOOE131,"40113"
NOOE132,"21310"
NOOE133,"51768"
NOPT042,"11622"
NPED045,"12986"
NPED048,"12986"
NPEP803,"11075"
NMAI059,"82348"
NPFL067,"45589"
NPFL125,"11275"
NAFY084,"11066"
NAFY084,"11337"
NAFY084,"13582"
NAFY102,"11064"
NAFY102,"11723"
NAIL082,"12986"
NAIL102,"11309"
NAIL109,"14650"
NPFL129,"43541"
NPGR003,"16878"
NDMI011,"94340"
NPRG014,"12088"
NPRG014,"31182"
NPRG030,"11324"
NBCM244,"47197"
NAST031,"12150"
NAST034,"11492"
NBCM008,"71987"
NBCM095,"11775"
NBCM095,"11780"
NBCM101,"11410"
NSCI030,"24737"
NSWI036,"11547"
NSWI126,"12997"
NSWI130,"10938"
NTIN090,"12418"
NMNM201,"13003"
NMFM305,"23009"
NMMB464,"16395"
NMMB464,"88657"
NOFY087,"11337"
NBCM108,"12388"
NBCM115,"11410"
NBCM124,"12943"
NBCM158,"11168"
NBCM158,"12628"
NBCM175,"11600"
NBCM220,"17150"
NOFY087,"70426"
NBCM300,"13761"
NBCM306,"11168"
NCGD007,"13860"
NSCI050,"12921"
NTMF030,"19798"
NTMF062,"11975"
NTVY006,"73760"
NTVY014,"16590"
NTVY014,"73760"
NTVY016,"11077"
NTVY016,"70151"
NTVY016,"71059"
NTVY016,"78660"
NUFY037,"12571"
NUMV084,"11765"
NZZZ274,"11115"
NOFY056,"13360"
NDGF017,"11525"
NDGF023,"11525"
NDGF024,"12320"
NDMI009,"71852"
NMAF062,"10956"
NDMI073,"11286"
NMAG112,"86910"
NEVF108,"11387"
NEVF112,"19759"
NMMA457,"58634"
NBCM178,"11490"
NMAG403,"12460"
NTIN061,"11302"
NMMB411,"93288"
NMFP409,"24327"
NMMB337,"11465"
NMTD203,"20791"
NAST024,"12150"
NAST036,"11144"
NBCM046,"12388"
NBCM353,"17076"
NMAG305,"10899"
NFPL076,"12415"
NFPL139,"23022"
NBCM096,"21310"
NBCM100,"12388"
NBCM100,"12955"
NCHF072,"21455"
NJAZ070,"78657"
NJAZ102,"92813"
NJAZ105,"76387"
NBCM127,"11490"
NMET004,"83195"
NFPL151,"11724"
NFPL151,"11757"
NFPL151,"12143"
NFPL163,"12415"
NFPL172,"11476"
NFPL172,"24737"
NFPL179,"11078"
NFPL180,"12478"
NDGF025,"13217"
NFPL500,"13179"
NFPL500,"18085"
NFPL551,"11523"
NFUF826,"13827"
NFUF830,"14077"
NFUF834,"12410"
NFUF837,"11617"
NGEO096,"13396"
NMFP407,"12382"
NBCM176,"11441"
NDMI012,"12117"
NFPL209,"12478"
NFPL209,"29535"
NMSA600,"11888"
NFPL250,"28321"
NMMB551,"50002"
NOFY075,"10731"
NGEO111,"13396"
NJAZ054,"11412"
NDMI056,"12117"
NEVF101,"11431"
NEVF102,"11793"
NEVF113,"19759"
NBCM182,"25006"
NBCM183,"13733"
NBCM238,"16400"
NBCM240,"19204"
NBCM308,"11979"
NBCM322,"11621"
NEVF119,"13116"
NEVF134,"18635"
NEVF150,"12945"
NEVF166,"11387"
NOFY024,"18016"
NEVF175,"58133"
NEVF508,"11706"
NAFY019,"23022"
NAFY023,"11616"
NMMA706,"12944"
NEVF537,"11706"
NFOE004,"25006"
NFPL003,"11304"
NFPL012,"12706"
NFPL023,"11347"
NFPL023,"11370"
NFPL023,"11757"
NFPL030,"11337"
NFPL056,"11589"
NAIL013,"11328"
NAIL105,"74603"
NAST011,"11393"
NJAZ072,"88357"
NMMA410,"12428"
NMMA122,"19716"
NOFY018,"11471"
NOFY066,"12591"
NEVF518,"11607"
NSWI158,"98887"
NAFY101,"11078"
NAFY101,"11438"
NAFY101,"20678"
NBCM103,"13761"
NMAI054,"11115"
NSCI004,"18412"
NMIN112,"24426"
NMSA202,"68652"
NTIN086,"54923"
NBCM177,"11490"
NMAG261,"38463"
NMSA334,"11345"
NOFY066,"11408"
NDMI064,"12426"
NMSA332,"24142"
NMAT362,"38463"
NMMB532,"11172"
NPFL068,"45589"
NPFL068,"12975"
NPRG064,"10732"
NPRG065,"11288"
NPRG045,"12418"
NSZZ502,"20791"
NMAI058,"13014"
NPFL124,"11275"
NFPL217,"13368"
NOFY018,"11747"
NPRG045,"11272"
NFPL085,"11323"
NMST711,"11521"
NOFY089,"11510"
NMSA170,"89594"
NMTD406,"16457"
NSWI170,"66889"
NSWI054,"12088"
NSWI177,"17077"
NFUF503,"11846"
NOFY085,"12988"
NAIL134,"80246"
NMNM336,"97188"
NMET009,"43788"
NMET009,"13635"
NOFY125,"11536"
NOFY011,"12945"
NOFY130,"11591"
NOFY130,"10864"
NOFY130,"12481"
NBCM241,"12411"
NFUF402,"11849"
NMAG450,"65702"
NMTM102,"83601"
NEVF191,"12367"
NTVY003,"73760"
NPGR036,"98090"
NJAZ099,"68968"
NMTD102,"20791"
NMTM104,"12947"
NMTM204,"10728"
NDMI025,"23828"
NMTM332,"17787"
NOFY028,"12704"
NMUG312,"10728"
NMUG410,"10728"
NMUM602,"11765"
NSZZ501,"17187"
NOFY125,"11854"
NSZZ501,"17787"
NAIL124,"11108"
NOFY084,"11727"
NMFP436,"75569"
NOOE012,"13761"
NTMF063,"11143"
NOOE016,"25211"
NOOE119,"11304"
NOOE119,"12411"
NOOE129,"15147"
NOPT057,"12426"
NOPT058,"11103"
NPFL141,"12725"
NPGR019,"20680"
NPGR026,"67236"
NPGR027,"16878"
NFUF836,"43520"
NMTM310,"11664"
NPRG045,"12986"
NPRG045,"10963"
NPRG045,"11103"
NPRG045,"10734"
NPRG045,"88106"
NPRG045,"22187"
NPRG045,"12531"
NPRG066,"11207"
NPRG076,"12087"
NSWI090,"24712"
NSWI144,"19441"
NBCM243,"16238"
NTIN060,"12418"
