"POVINN","PKLAS"
NAIL006,INFPRG
NAIL006,INFTCS
NAIL009,INFPRG
NAIL009,INFTCS
NAIL022,INFPRG
NAIL022,INFTCS
NDFY043,TEAPHY
NMMA366,MATFNC
NMMA561,MATFNC
NMMA561,MATTOP
NMMA562,MATFNC
NMMA562,MATTOP
NMMB303,MATALG
NMMB462,INFEXT
NMMB462,MATALG
NMMB498,MATALG
NMMB499,MATALG
NMMB562,MATALG
NSWI029,INFSWE
NSWI058,INFSWE
NSWI138,INFSWE
NUFY023,PHYTEA
NUFY029,PHYTEA
NUFY080,TEAPHY
NUFY081,TEAPHY
NUFY094,PHYTEA
NUFY100,PHYTEA
NUFY102,PHYTEA
NMMO531,MATMOD
NMNV402,MATFNC
NMNV407,MATNUM
NMNV535,MATDEQ
NMNV535,MATNUM
NOFY027,PHYGEN
NOFY042,PHYGEN
NOOE014,PHYOPT
NOPT061,INF
NOPT061,INFOPT
NTIN065,INFTCS
NTIN074,INFTCS
NTIN089,INFTCS
NPRF034,PHYMAT
NMST703,MATEXT
NMST703,MATSTP
NMTP612,MATSTP
