"KOD","USTAV","FAKULTA","PRIJMENI","JMENO","TITULPRED","TITULZA"
"59496","32-KSVI","11320",Šefl,Vít,Mgr.,
"11811","32-KDF","11320",Pavelková,Isabella,doc. PhDr.,CSc.
"58753","32-KJP","11320",Šafařík,Luděk,RNDr. Mgr.,
"16590","32-KTV","11320",Kozák,Martin,Mgr.,
"16457","32-KDM","11320",Moravcová,Vlasta,RNDr.,Ph.D.
"17076","32-KMF","11320",Kylián,Ondřej,doc. RNDr.,Ph.D.
"15807","32-UFAL","11320",Popel,Martin,Mgr.,Ph.D.
"17787","32-KDM","11320",Halas,Zdeněk,Mgr.,"DiS., Ph.D."
"14650","32-KTIML","11320",Pilát,Martin,doc. Mgr.,Ph.D.
"13759","32-KPMS","11320",Dvořák,Jiří,doc. RNDr.,Ph.D.
"16584","32-KTIML","11320",Bulín,Jakub,RNDr.,Ph.D.
"16878","32-KSVI","11320",Wilkie,Alexander,prof. Dr. techn.,
"11364","32-KNM","11320",Najzar,Karel,doc. RNDr.,CSc.
"11369","32-KSVI","11320",Mráz,František,RNDr.,CSc.
"11370","32-FUUK","11320",Moravec,Pavel,doc. RNDr.,CSc.
"11380","32-KPMS","11320",Mazurová,Lucie,RNDr.,Ph.D.
"12480","32-KNM","11320",Kofroň,Josef,doc. RNDr.,CSc.
"13240","32-KSVI","11320",Blažek,Jan,RNDr.,Ph.D.
"10875","32-UFAL","11320",Straka,Milan,RNDr.,Ph.D.
"10876","32-UFAL","11320",Bojar,Ondřej,doc. RNDr.,Ph.D.
"13003","32-KNM","11320",Kučera,Václav,doc. RNDr.,Ph.D.
"12149","32-AUUK","11320",Ehlerová,Soňa,RNDr.,Ph.D.
"12150","32-AUUK","11320",Šubr,Ladislav,doc. RNDr.,Ph.D.
"12486","32-KAM","11320",Klazar,Martin,doc. RNDr.,Dr.
"12491","32-KDM","11320",Kašpar,Jan,RNDr.,CSc.
"13037","32-KDSS","11320",Kára,Jan,RNDr.,Ph.D.
"11664","32-KDM","11320",Slavík,Antonín,doc. RNDr.,Ph.D.
"11668","32-KNM","11320",Hnětynková,Iveta,doc. RNDr.,Ph.D.
"11671","32-KTV","11320",Brož,Jaroslav,Mgr.,
"11037","32-KSVI","11320",Bílý,Tomáš,Mgr.,
"12180","32-KFKL","11320",Turek,Ilja,doc. RNDr.,DrSc.
"12428","32-MUUK","11320",Lávička,Roman,doc. RNDr.,Ph.D.
"12434","32-KA","11320",Kůrka,Petr,prof. RNDr.,CSc.
"11040","32-UFAL","11320",Pecina,Pavel,doc. RNDr.,Ph.D.
"11063","32-IUUK","11320",Koucký,Michal,prof. Mgr.,Ph.D.
"11067","32-UFAL","11320",Mírovský,Jiří,RNDr.,Ph.D.
"11075","32-KDF","11320",Koupilová,Zdeňka,RNDr.,Ph.D.
"12356","32-UFAL","11320",Zeman,Daniel,doc. RNDr.,Ph.D.
"12437","32-KFPP","11320",Kudrna,Pavel,doc. Mgr.,Dr.
"12439","32-KAM","11320",Kučera,Luděk,prof. RNDr.,DrSc.
"12442","32-UFAL","11320",Kuboň,Vladislav,doc. RNDr.,Ph.D.
"12460","32-KAM","11320",Kratochvíl,Jan,prof. RNDr.,CSc.
"12463","32-KA","11320",Krajíček,Jan,prof. RNDr.,DrSc.
"12465","32-MUUK","11320",Kowalski,Oldřich,prof. RNDr.,DrSc.
"12466","32-KDSS","11320",Koubková,Alena,RNDr.,CSc.
"12947","32-KDM","11320",Bečvář,Jindřich,doc. RNDr.,CSc.
"12948","32-KTIML","11320",Hric,Jan,RNDr.,
"11500","32-KNM","11320",Felcman,Jiří,doc. RNDr.,CSc.
"11510","32-KVOF","11320",Gabriel,Petr,RNDr.,Ph.D.
"11518","32-KPMS","11320",Hlávka,Zdeněk,doc. RNDr.,Ph.D.
"12098","32-KPMS","11320",Kopa,Miloš,doc. RNDr. Ing.,Ph.D.
"12117","32-KAM","11320",Hubička,Jan,doc. Mgr.,Ph.D.
"12129","32-KA","11320",Příhoda,Pavel,doc. Mgr.,Ph.D.
"12130","32-KA","11320",Růžička,Pavel,doc. Mgr.,Ph.D.
"11567","32-KJP","11320",Hořká,Zuzana,Mgr.,
"11572","32-KA","11320",Holub,Štěpán,doc. Mgr.,Ph.D.
"12657","32-KSI","11320",Hoksza,David,doc. RNDr.,Ph.D.
"11272","32-KSI","11320",Holubová,Irena,doc. RNDr.,Ph.D.
"11275","32-UFAL","11320",Žabokrtský,Zdeněk,prof. Ing.,Ph.D.
"11279","32-IUUK","11320",Kantor,Ida,,"M.Sc., Ph.D."
"11282","32-KSVI","11320",Pergel,Martin,RNDr.,Ph.D.
"11286","32-IUUK","11320",Dvořák,Zdeněk,prof. Mgr.,Ph.D.
"11288","32-KDSS","11320",Kofroň,Jan,doc. RNDr.,Ph.D.
