"POVINN","TYP","JAZYK","TITLE","MEMO","PRAVO"
NAFF004,A,CZE,anotace,"Předmět poskytuje studentům hlubší vhled do problematiky herních studií a seznamuje je s aktuálními tématy 
oboru. Mezi probíraná témata patří design a vývoj počítačových her, persvazivní a vážné počítačové hry, herní 
průmysl v 21. století a vztah mezi počítačovými hrami, politikou, historií a náboženstvím. Cílem předmětu je 
rozvinout hlubší porozumění média počítačových her a schopnost designu a vývoje vážných her. Předmět je 
vyučován v anglickém jazyce.
",ALL
NAFF004,A,ENG,annotation,"The course provides deeper insight into the field of game studies and familiarizes students with its contemporary 
issues. The topics of the course include video game design and development, persuasive video games, game 
industry in the 21st century, and relationships between video games, politics, history, and religion. The course 
aims to develop students’ deeper understanding of video games medium and the ability to design and develop 
serious games. The course is taught in English. 
",ALL
NAFF004,C,CZE,cíl předmětu,"Seznámit studenty s aktuálními tématy vědeckého oboru herních studií.",ALL
NAFF004,C,ENG,aim of subject,"Introduce students to contemporary issues within game studies scientific discipline.",ALL
NAFF004,S,CZE,sylabus,"The course will be taught every two weeks on Wednesdays 10:50 - 12:20 AM, in the room no. 303 at Hybernská 3. We start on February 15, 2023. If you want to be enrolled to the course you have to attend the first lecture.

Introduction
Video Games and Globalization
Serious Video Game Development
Video Games and History
Video Games and Religion
Video Games and Politics
Project Presentation 
",ALL
NAFF004,S,ENG,syllabus,"The course will be taught every two weeks on Wednesdays 10:50 - 12:20 AM, in the room no. 303 at Hybernská 3. We start on February 15, 2023. If you want to be enrolled to the course you have to attend the first lecture.

Introduction
Video Games and Globalization
Game Design and Development
Video Games and Politics
Video Games and History
Video Games and Religion
Project Presentation 
",ALL
NAFY024,A,CZE,anotace,"Krystalová struktura materiálů a vlastnosti materiálů. Kmity mříže,
tepelná kapacita. Materiály ve vnějších polích (mechanické silové pole,
elektrické a magnetické pole). Základní představy o magnetismu materiálů,
základní teoretický popis. Spontánní uspořádání magnetických a
elektrických momentů, fázové změny. Transportní vlastnosti, pásové schema
a elektrická vodivost. Kvantové vlastnosti materiálů za nízkých teplot -
supravodivost.
",ALL
NAFY024,A,ENG,annotation,"Crystal structure and structural properties of materials. Lattice
vibrations, heat capacity. Materials in external fields (mechanical force
field, electric and magnetic field). Basic knowledge about magnetic
properties, basic theoretical description. Spontaneous order of magnetic
and electric moments, phase transformations. Transport properties, band
scheme and electrical conductivity. Quantum properties of materials at low
temperatures - superconductivity.
",ALL
NAFY024,S,CZE,sylabus,"Krystalová struktura materiálů a vlastnosti materiálů. Kmity mříže,
tepelná kapacita. Materiály ve vnějších polích (mechanické silové pole,
elektrické a magnetické pole). Základní představy o magnetismu materiálů,
základní teoretický popis. Spontánní uspořádání magnetických a
elektrických momentů, fázové změny. Transportní vlastnosti, pásové schema
a elektrická vodivost. Kvantové vlastnosti materiálů za nízkých teplot -
supravodivost.
",ALL
NAFY024,S,ENG,syllabus,"Crystal structure and structural properties of materials. Lattice
vibrations, heat capacity. Materials in external fields (mechanical force
field, electric and magnetic field). Basic knowledge about magnetic
properties, basic theoretical description. Spontaneous order of magnetic
and electric moments, phase transformations. Transport properties, band
scheme and electrical conductivity. Quantum properties of materials at low
temperatures - superconductivity.
",ALL
NAFY101,A,CZE,anotace,"Předmět seznámí posluchače s fyzikálními principy spektroskopických a zobrazovacích metod, diagnostických a 
léčebných přístrojů a zařízení. Spektroskopie a zobrazovací techniky využívající elmag. záření (gamma, rtg, 
optické, mikrovlnné, radiofrekvenční). Akustické přístroje. Lasery a jejich využití. Základy kryotechniky, kryosondy. 
Hypertermie aj.

",ALL
NAFY101,A,ENG,annotation,"The course familiarizes students with physical principles of spectroscopic and imaging techniques, diagnostic and 
therapeutic devices and equipment. Spectroscopy and imaging techniques using electromagnetic radiation 
(gamma, X-ray, optical, microwave, radiofrequency). Acoustic devices. Lasers and their applications. Basics of 
cryogenics, cryoprobes. Hyperthermia etc.


",ALL
NAFY101,P,CZE,požadavky ke kontrole studia,"Zkouška je ústní, otázky se zadávají v rozsahu probírané látky, je možná krátká příprava odpovědí na místě. Studentovi mohou být mimo to položeny doplňující otázky. Zkouší zpravidla více vyučujících. 

Ke zkoušce je požadován zápočet.
",ALL
NAFY101,P,ENG,requirements for assessment of study,"Oral exam. Three questions are given within the range of the themes presented in the lectures, a short preparation of the answers is possible. Additional questions may also be put to the student. As a rule, more teachers participate in the exam.
A credit is required for the exam.
",ALL
NAFY101,S,CZE,sylabus,"1.	Biologické signály a jejich sledování.
2.	Přehled zobrazovacích a tomografických metod  v biomedicíně. 
3.	Jaderná magnetická rezonance (NMR): spektroskopie NMR a tomografie MRI, funkční magnetická rezonance (fMRI).
4.	Nukleární zobrazovací systémy. Pozitronová anihilační spektroskopie, PET.
5.	Výpočetní tomografie (CT), srovnání s MRI.
6.	Biokompatibilní materiály (příprava, vlastnosti, použití).
7.	Kryotechnika, termometrie; hypertermie.
",ALL
NAFY101,S,ENG,syllabus,"1. Biological signals and their monitoring.
2. Overview of imaging and tomography methods in biomedicine. 
3. Nuclear Magnetic Resonance (NMR): NMR spectroscopy and MRI tomography, functional MRI (fMRI). 
4. Nuclear imaging systems. Positron annihilation spectroscopy, PET. 
5. Computed tomography (CT). 
6. Biocompatible materials (preparation, properties, applications). 
7. Cryogenics, thermometry; hyperthermia.
",ALL
NAIL026,A,CZE,anotace,"Na přednášce bude vyšetřována vlastnost univerzální aproximace na různých
architekturách NS (vícevrstvý perceptron, RBF sítě, Gaussian bars) a
funkční ekvivalence NS pro genetické učení.
",ALL
NAIL026,A,ENG,annotation,"The universal approximation property will be studied for different 
architectures of neural networks (multilayer perceptron, RBF networks, 
Gaussian bars). Functional equivalence and similar properties will be 
studied with consequences for genetic learning of neural networks.
",ALL
NAIL026,C,CZE,cíl předmětu,"Na přednášce bude vyšetřována vlastnost univerzální aproximace na různých
architekturách NS
",ALL
NAIL026,S,CZE,sylabus,"Na přednášce bude vyšetřována vlastnost univerzální aproximace na různých
architekturách NS (vícevrstvý perceptron, RBF sítě, Gaussian bars) a
funkční ekvivalence NS pro genetické učení.
",ALL
NAIL026,S,ENG,syllabus,"The universal approximation property will be studied for different 
architectures of neural networks (multilayer perceptron, RBF networks, 
Gaussian bars). Functional equivalence and similar properties will be 
studied with consequences for genetic learning of neural networks.
",ALL
NAIL062,A,CZE,anotace,"Výroková logika, normální tvary formulí, predikátová logika, věty o úplnosti výrokové a  predikátové logiky, prenexní tvary formulí, modely teorií 1. řádu. Meze formální metody, Gödelovy věty.
",ALL
NAIL062,A,ENG,annotation,"Propositional logic, normal forms of propositional formulas, 
predicate logic of first order,
prenex forms of formulas, completness theorems for 
propositional and predicate logic,
models of first-order theories. The limits of formal 
method, Goedel's theorems
",ALL
NAIL062,C,CZE,cíl předmětu,"Naučit základy výrokové a predikátové logiky
",ALL
NAIL062,C,ENG,aim of subject,"To present elements of propositional and predicate logic.",ALL
NAIL062,P,CZE,požadavky ke kontrole studia,"Zkouška je ústní s písemnou přípravou. Požadavky u zkoušky odpovídají sylabu předmětu v rozsahu, který byl pokryt na přednášce.",ALL
NAIL062,P,ENG,requirements for assessment of study,"The exam is oral with written preparation. Requirements for the exam correspond to the syllabus of the course in the extent that has been covered in the lecture.
",ALL
NAIL062,S,CZE,sylabus,"Výroková logika: základní syntax a sémantika, normální tvary formulí, problém splnitelnosti. Tablo metoda a rezoluce ve výrokové logice. Věta o úplnosti výrokové logiky.

Predikátová logika: základní syntax a sémantika, prenexní tvary formulí, vlastnosti a modely teorií 1. řádu. Tablo metoda a rezoluce v predikátové logice. Skolemova věta, Herbrandova věta. Věta o úplnosti predikátové logiky, kompaktnost.

Kompletnost a její kritéria, rozhodnutelnost. Meze formální metody, Gödelovy věty. 
",ALL
