"POVINN","PNAZEV","PANAZEV","VPLATIOD","VPLATIDO","PFAKULTA","PGARANT","PVYUCOVAN","VSEMZAC","VSEMPOC","PVYJAZYK","VROZSAHPR1","VROZSAHCV1","VROZSAHPR2","VROZSAHCV2","VRVCEM","VTYP","VEBODY","VUCIT1","VUCIT2","VUCIT3","PPOCMIN","PPOCMAX"
N#FB004,Povinné předměty SZZ - FM,Core Courses for Final State Examination - FM,"2002","9999","11320","32-FUUK",V,,,,,,,,,,,,,,,
N#FB020,Kvantová mechanika I a II OFY,,"2008","9999","11320","32-UCJF",V,,,CZE,,,,,,,,,,,,
N#FM020,Výběrově povinné předměty SZZ - OOE/OF,Optional Core Courses for Final State Examination - Optics and Optoelectronics/OF,"2001","9999","11320","32-FUUK",V,,,,,,,,,,,,,,,
N#FM208,Výběrově povinné předměty SZZ - MK,Optional Core Courses for Final State Examination - MK,"2005","9999","11320","32-KFA",V,,,,,,,,,,,,,,,
N#FM393,Povinné předměty SZZ - BCHF/TMS,Core Courses for Final State Examination - BCHF/TMS,"2010","9999","11320",,V,,,,,,,,,,,,,,,
N#FM625,Povinně volitelné předměty k SZZ - FKSM/FML,Compulsory Optional Courses for Final State Examination - FKSM/FML,"2014","9999","11320","32-KFKL",V,,,,,,,,,,,,,,,
N#FM827,Povinně volitelné předměty k SZZ - FKSM/FNT R3,Compulsory Optional Courses for Final State Examination - FKSM/FNT R3,"2014","9999","11320","32-KFKL",V,,,,,,,,,,,,,,,
N#IA022,Složitost I a Vyčíslitelnost I,,"2008","9999","11320","32-KTIML",V,,,CZE,,,,,,,,,,,,
N#IB701,Povinné předměty informační bezp. před SZZ Mgr.,Core Courses in Information Security before Final State Examination BA,"2015","9999","11320","32-KA",V,,,CZE,,,,,,,,,,,,
N#IN315,Povinné bakal. předměty obor ML Mgr.,Core Bachelor Courses for ML MA majors,"2003","9999","11320","32-UFAL",V,,,,,,,,,,,,,,,
N#IN331,Povinné a povinně volitelné předměty ISS3M,Core and Compulsory Optional Courses ISS3M,"2006","9999","11320",,V,,,CZE,,,,,,,,,,,,
N#IN922,Povinně vol. předměty obor TI Mgr. R9 AJ,Compulsory Optional Courses for TI MA R9 majors AJ,"2019","9999","11320","32-KTIML",V,,,CZE,,,,,,,,,,,,
N#MC004,Povinně volitelné předměty MZU 1,,"2014","9999","11320",,V,,,CZE,,,,,,,,,,,,
N#MF332,Povinné předměty učitelství M-F před SZZ Bc.,Core Courses in Teaching M-F before Final State Examination BA,"2010","9999","11320","32-KDF",V,,,,,,,,,,,,,,,
N#MM531,Povin. předměty oboru TPNP,Core Courses for TPNP majors,"2013","9999","11320","32-KPMS",V,,,,,,,,,,,,,,,
N#MP118,NUMV066 v NUMV067,NUMV066 v NUMV067,"2012","9999","11320","32-KDM",V,,,CZE,,,,,,,,,,,,
N#MS013,STP001 nebo STP097,STP001 or STP097,"2001","9999","11320",,Z,,,,,,,,,,,,,,,
N#MS024,Magistři a bakaláři-pojistná matematika,Masters and Bachelors - Actuarial Mathematics,"2008","9999","11320","32-KPMS",V,,,CZE,,,,,,,,,,,,
N#MS062,Analýza 1b,Analysis 1b,"2010","9999","11320","32-KMA",V,,,CZE,,,,,,,,,,,,
