"POVINN","JAZYK","PLATIOD","PLATIDO"
NAIL062,ENG,"2020","2021"
NAIL062,ENG,"2022","9999"
NAIL120,ENG,"2019","9999"
NDBI001,ENG,"2015","9999"
NDBI006,ENG,"2020","9999"
NDBI007,ENG,"2020","2020"
NDBI007,ENG,"2021","9999"
NDBI021,ENG,"2020","2020"
NDBI021,ENG,"2021","2021"
NDBI021,ENG,"2022","9999"
NDBI023,CZE,"2020","9999"
NDBI025,ENG,"2017","9999"
NDBI034,ENG,"2015","2020"
NDBI034,ENG,"2021","9999"
NDBI040,ENG,"2020","9999"
NDBI049,ENG,"2024","9999"
NDMI002,ENG,"2020","9999"
NDMI011,ENG,"2020","2022"
NDMI011,ENG,"2023","9999"
NDMI100,CZE,"2020","9999"
NMAI054,ENG,"2014","9999"
NMAI055,ENG,"2015","2022"
NMAI055,ENG,"2023","9999"
NMAI057,ENG,"2020","2021"
NMAI057,ENG,"2022","2023"
NMAI057,ENG,"2024","9999"
NMAI058,ENG,"2014","9999"
NMAI059,ENG,"2020","2020"
NMAI059,ENG,"2021","9999"
NMAI060,ENG,"2016","9999"
NMAI069,ENG,"2020","9999"
NPFL054,ENG,"2019","2021"
NPFL054,ENG,"2022","9999"
NPFL114,ENG,"2018","9999"
NPFL129,ENG,"2020","2022"
NPFL129,ENG,"2023","9999"
NPFL138,ENG,"2023","9999"
NPGR003,ENG,"2015","9999"
NPGR038,ENG,"2019","9999"
NPRG005,ENG,"2014","9999"
NPRG013,ENG,"2014","9999"
NPRG021,ENG,"2014","9999"
NPRG030,ENG,"2014","9999"
NPRG031,ENG,"2016","9999"
NPRG035,ENG,"2014","9999"
NPRG036,ENG,"2019","2020"
NPRG036,ENG,"2021","9999"
NPRG038,ENG,"2013","9999"
NPRG041,ENG,"2020","9999"
NPRG045,ENG,"2019","2021"
NPRG045,ENG,"2022","9999"
NPRG051,ENG,"2022","9999"
NPRG054,ENG,"2019","2023"
NPRG058,ENG,"2020","9999"
NPRG062,ENG,"2020","2021"
NPRG062,ENG,"2022","9999"
NSWE002,ENG,"2016","9999"
NSWI004,ENG,"2019","9999"
NSWI041,ENG,"2020","2020"
NSWI041,ENG,"2021","2021"
NSWI041,ENG,"2022","2022"
NSWI041,ENG,"2023","2023"
NSWI041,ENG,"2024","9999"
NSWI072,ENG,"2015","2021"
NSWI072,ENG,"2022","9999"
NSWI080,CZE,"2018","2021"
NSWI080,CZE,"2022","9999"
NSWI090,ENG,"2021","2021"
NSWI090,ENG,"2022","2022"
NSWI090,ENG,"2023","2023"
NSWI090,ENG,"2024","9999"
NSWI095,ENG,"2013","9999"
NSWI120,ENG,"2014","9999"
NSWI130,ENG,"2020","2023"
NSWI130,ENG,"2024","9999"
NSWI131,CZE,"2017","9999"
NSWI141,ENG,"2019","9999"
NSWI142,ENG,"2013","2021"
NSWI142,ENG,"2022","9999"
NSWI143,ENG,"2016","9999"
NSWI144,ENG,"2018","9999"
NSWI145,ENG,"2018","9999"
NSWI153,ENG,"2013","2021"
NSWI153,ENG,"2022","9999"
NSWI154,ENG,"2020","9999"
NSWI166,ENG,"2022","9999"
NSWI170,ENG,"2019","9999"
NSWI177,ENG,"2019","9999"
NSZZ023,ENG,"2014","9999"
NSZZ024,ENG,"2014","9999"
NSZZ025,ENG,"2014","9999"
NSZZ026,ENG,"2014","9999"
NTIN043,ENG,"2014","9999"
NTIN060,ENG,"2014","9999"
NTIN061,ENG,"2014","9999"
NTIN066,ENG,"2018","9999"
NTIN071,ENG,"2018","9999"
NTIN090,ENG,"2017","2023"
NTIN090,ENG,"2024","9999"
NTIN107,ENG,"2018","9999"
NTVY006,ENG,"2021","2021"
