"POVINN","TYP","JAZYK","VPLATIOD","VPLATIDO","MEMO"
NAFF004,A,CZE,"2020","9999","Předmět poskytuje studentům hlubší vhled do problematiky herních studií a seznamuje je s aktuálními tématy 
oboru. Mezi probíraná témata patří design a vývoj počítačových her, persvazivní a vážné počítačové hry, herní 
průmysl v 21. století a vztah mezi počítačovými hrami, politikou, historií a náboženstvím. Cílem předmětu je 
rozvinout hlubší porozumění média počítačových her a schopnost designu a vývoje vážných her. Předmět je 
vyučován v anglickém jazyce.
"
NAFF004,A,ENG,"2020","9999","The course provides deeper insight into the field of game studies and familiarizes students with its contemporary 
issues. The topics of the course include video game design and development, persuasive video games, game 
industry in the 21st century, and relationships between video games, politics, history, and religion. The course 
aims to develop students’ deeper understanding of video games medium and the ability to design and develop 
serious games. The course is taught in English. 
"
NAFF004,C,CZE,"2020","9999","Seznámit studenty s aktuálními tématy vědeckého oboru herních studií."
NAFF004,C,ENG,"2020","9999","Introduce students to contemporary issues within game studies scientific discipline."
NAFF004,E,CZE,"2020","9999","Metody hodnocení:
10 % Tvorba týmu, odevzdání herního konceptu
10 % Midterm prezentace her
40 % Závěrečná prezentace her
40 % Odevzdání finální verze vytvořené hry
"
NAFF004,E,ENG,"2020","9999","Method of Assessments:
10 % Team Formation, Game Concept Submission
10 % Midterm Game Presentation
40 % Final Game Presentation
40 % Final Game Submission 
"
NAFF004,L,CZE,"2020","9999","AARSETH, Espen J. Cybertext: Perspectives on Ergodic Literature. Baltimore: The Johns Hopkins University Press, 1997. 203 s. ISBN 0-8018-5579-9.

BOGOST, Ian. Persuasive Games: The Expressive Power of Videogames. Cambridge: The MIT Press, 2007. 464 s. ISBN 978-0-262-02614-7.

JAHN-SUDMANN, Andreas; STOCKMANN, Ralf (ed.). Computer Games as a Sociocultural Phenomenon. New York: Palgrave Macmillan, 2008. 256 s.

JUUL, Jesper. A casual revolution: reinventing video games and their players. Cambridge: MIT Press, 2010. 252 s. ISBN 978-0-262-01337-6.

THOMPSON, Jason C.; Marc A. OUELLETTE. The Game Culture Reader. CSP, 2013. ISBN 1-443-84094-7."
NAFF004,L,ENG,"2020","9999","AARSETH, Espen J. Cybertext: Perspectives on Ergodic Literature. Baltimore: The Johns Hopkins University Press, 1997. 203 s. ISBN 0-8018-5579-9.

BOGOST, Ian. Persuasive Games: The Expressive Power of Videogames. Cambridge: The MIT Press, 2007. 464 s. ISBN 978-0-262-02614-7.

JAHN-SUDMANN, Andreas; STOCKMANN, Ralf (ed.). Computer Games as a Sociocultural Phenomenon. New York: Palgrave Macmillan, 2008. 256 s.

JUUL, Jesper. A casual revolution: reinventing video games and their players. Cambridge: MIT Press, 2010. 252 s. ISBN 978-0-262-01337-6.

THOMPSON, Jason C.; Marc A. OUELLETTE. The Game Culture Reader. CSP, 2013. ISBN 1-443-84094-7."
NAFF004,R,CZE,"2020","9999","Doporučené (neformální) navazující předměty:
NCGD006 - Praktikum z vývoje počítačových her v limitovaném čase; předmět umožňuje využití experimentálních nápadů z kurzu a praktickou tvorbu ""serious game"" či vzdělávací hry nebo simulace
NCGD005 - Game User Experience; umožní vytvořit a ověřit vzdělávací aspekty vytvořené simulace nebo ""serious game"", navrhnout a provést relevantní výzkum
"
NAFF004,R,ENG,"2020","9999","Suggested (informal) follow-up courses:
NCGD006 - Practical Course on Rapid Game Development; the course allows to utilize experimental ideas from this course through the implementation of a ""serious game"", educational game or simulationvzdělávací hry nebo simulace
NCGD005 - Game User Experience; the course will allow to create and evaluate educational aspects of existing or created ""serious game"", educational game or simulation by creating and cunducting a relevant research
"
