NAME,POVINN,VPLATIOD,VPLATIDO,PGARANT,PVYUCOVAN,VSEMZAC,VSEMPOC,VRVCEM,VTYP,VEBODY,PPOCMIN,PPOCMAX,LANG,VYJAZYK,GUARANTORS,A,C,E,L,P,S,V,TEACHERS,FACULTY_NAME,LECTURE_RANGE_WINTER,SEMINAR_RANGE_WINTER,LECTURE_RANGE_SUMMER,SEMINAR_RANGE_SUMMER
Kredity za uznané povinně volitelné předměty,N#EK009,2022,9999,,Zrušen,,,,,,,Neomezená,cs,Čeština,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Kredity za uznané povinné předměty,N#EK010,2022,9999,,Zrušen,,,,,,,Neomezená,cs,Čeština,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
OFY35 a TMF003,N#FF001,1348,9999,,Vyučován,,,,,,,Neomezená,cs,,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Povinně volitelné předměty ML,N#FL001,2004,9999,32-UFAL,Vyučován,,,,,,,Neomezená,cs,,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Semináře - BCHF/CHF,N#FM032,2004,9999,32-KCHFO,Vyučován,,,,,,,Neomezená,cs,,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Semináře - AA/AST031,N#FM037,2004,9999,32-STUD,Vyučován,,,,,,,Neomezená,cs,,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Semináře - BF/BCM006,N#FM335,2005,9999,32-FUUK,Vyučován,,,,,,,Neomezená,cs,,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Semináře - CHF/BCM044,N#FM338,2003,9999,32-FUUK,Vyučován,,,,,,,Neomezená,cs,,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Povinné předměty SZZ - AA,N#FM350,2010,9999,32-AUUK,Vyučován,,,,,,,Neomezená,cs,,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Výběrově povinné předměty k SZZ - FKSM/FM,N#FM371,2005,9999,32-KFKL,Vyučován,,,,,,,Neomezená,cs,,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Povinné bakal. předměty k SZZ - FPIP,N#FM384,2005,9999,32-KFPP,Vyučován,,,,,,,Neomezená,cs,,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Povinně volitelné předměty k SZZ 1 - OOE/KNO,N#FM979,2020,9999,32-KCHFO,Vyučován,,,,,,,Neomezená,cs,Čeština,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Složitost I a Vyčíslitelnost I,N#IA022,2008,9999,32-KTIML,Vyučován,,,,,,,Neomezená,cs,Čeština,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Povinné předměty ochrana informací před SZZ Bc.104 b.,N#IB301,2005,9999,32-KA,Vyučován,,,,,,,Neomezená,cs,,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Navazující informatika 03/04 - povinně volitelné předměty obor ML,N#IN007,2004,9999,32-STUD,Vyučován,,,,,,,Neomezená,cs,,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
Povinné předměty obor SI Mgr.,N#IN328,2011,9999,32-KSI,Vyučován,,,,,,,Neomezená,cs,,null,,,,,,,,null,Matematicko-fyzikální fakulta,,,,
