"PLAN_CODE","PLAN_YEAR","CODE","INTERCHANGEABILITY","BLOC_SUBJECT_CODE","BLOC_TYPE","BLOC_LIMIT","BLOC_NAME_CZ","BLOC_NAME_EN","SEQ","NOTE_CZ","NOTE_EN","BLOC_NOTE_CZ","BLOC_NOTE_EN"
NIDAW19B,"2016",NAIL062,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0016",,,,
NIDAW19B,"2016",NDBI007,,"93",A,,Povinné předměty IDAW Bc.,,"02/006/0004",,,,
NIDAW19B,"2016",NDBI013,,"95",B,6,Povinně volitelné předměty IDAW Bc. skupina II.,,"02/008/0007",,,,
NIDAW19B,"2016",NDBI025,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0013",,,,
NIDAW19B,"2016",NDBI026,,"93",A,,Povinné předměty IDAW Bc.,,"02/006/0003",,,,
NIDAW19B,"2016",NDBI038,,"93",A,,Povinné předměty IDAW Bc.,,"02/006/0013",,,,
NIDAW19B,"2016",NDBI040,,"93",A,,Povinné předměty IDAW Bc.,,"02/006/0006",,,,
NIDAW19B,"2016",NDBI045,,"95",B,6,Povinně volitelné předměty IDAW Bc. skupina II.,,"02/008/0004",,,,
NIDAW19B,"2016",NDMI002,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0005",,,,
NIDAW19B,"2016",NDMI011,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0015",,,,
NIDAW19B,"2016",NJAZ076,NJAZ091,"3210",A,,Anglický jazyk,,"02/002/0001",,,,
NIDAW19B,"2016",NJAZ077,NJAZ091,"3210",A,,Anglický jazyk,,"02/002/0001",,,,
NIDAW19B,"2016",NJAZ091,,"3210",A,,Anglický jazyk,,"02/002/0001",,,,
NIDAW19B,"2016",NMAI054,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0011",,,,
NIDAW19B,"2016",NMAI055,,"96",B,3,Povinně volitelné předměty IDAW Bc. skupina III.,,"02/009/0001",,,,
NIDAW19B,"2016",NMAI057,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0006",,,,
NIDAW19B,"2016",NMAI058,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0012",,,,
NIDAW19B,"2016",NMAI059,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0018",,,,
NIDAW19B,"2016",NPFL054,,"95",B,6,Povinně volitelné předměty IDAW Bc. skupina II.,,"02/008/0003",,,,
NIDAW19B,"2016",NPGR002,,"96",B,3,Povinně volitelné předměty IDAW Bc. skupina III.,,"02/009/0009",,,,
NIDAW19B,"2016",NPRG005,,"94",B,15,Povinně volitelné předměty IDAW Bc. skupina I.,,"02/007/0014",,,,
NIDAW19B,"2016",NPRG013,,"94",B,15,Povinně volitelné předměty IDAW Bc. skupina I.,,"02/007/0006",,,,
NIDAW19B,"2016",NPRG021,,"94",B,15,Povinně volitelné předměty IDAW Bc. skupina I.,,"02/007/0012",,,,
NIDAW19B,"2016",NPRG030,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0002",,,,
NIDAW19B,"2016",NPRG031,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0008",,,,
NIDAW19B,"2016",NPRG035,,"94",B,15,Povinně volitelné předměty IDAW Bc. skupina I.,,"02/007/0007",,,,
NIDAW19B,"2016",NPRG036,,"93",A,,Povinné předměty IDAW Bc.,,"02/006/0009",,,,
NIDAW19B,"2016",NPRG038,,"94",B,15,Povinně volitelné předměty IDAW Bc. skupina I.,,"02/007/0013",,,,
NIDAW19B,"2016",NPRG041,,"94",B,15,Povinně volitelné předměty IDAW Bc. skupina I.,,"02/007/0001",,,,
NIDAW19B,"2016",NPRG045,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0019",,,,
NIDAW19B,"2016",NPRG051,,"94",B,15,Povinně volitelné předměty IDAW Bc. skupina I.,,"02/007/0008",,,,
NIDAW19B,"2016",NPRG056,,"96",B,3,Povinně volitelné předměty IDAW Bc. skupina III.,,"02/009/0003",,,,
NIDAW19B,"2016",NSWI004,,"95",B,6,Povinně volitelné předměty IDAW Bc. skupina II.,,"02/008/0001",,,,
NIDAW19B,"2016",NSWI090,,"96",B,3,Povinně volitelné předměty IDAW Bc. skupina III.,,"02/009/0006",,,,
NIDAW19B,"2016",NSWI120,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0003",,,,
NIDAW19B,"2016",NSWI130,,"96",B,3,Povinně volitelné předměty IDAW Bc. skupina III.,,"02/009/0007",,,,
NIDAW19B,"2016",NSWI141,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0004",,,,
NIDAW19B,"2016",NSWI142,,"93",A,,Povinné předměty IDAW Bc.,,"02/006/0001",,,,
NIDAW19B,"2016",NSWI153,,"93",A,,Povinné předměty IDAW Bc.,,"02/006/0007",,,,
NIDAW19B,"2016",NSZZ026,NSZZ031,"6229",A,,Bakalářská práce,,"02/001/0001",,,,
NIDAW19B,"2016",NSZZ031,,"6229",A,,Bakalářská práce,,"02/001/0001",,,,
NIDAW19B,"2016",NTIN060,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0007",,,,
NIDAW19B,"2016",NTIN061,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0014",,,,
NIDAW19B,"2016",NTIN071,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0017",,,,
NIDAW19B,"2016",NTVY014,,"3224",B,4,Tělesná výchova s kurzy,,"02/003/0001",,,,
NIDAW19B,"2016",NTVY015,,"3224",B,4,Tělesná výchova s kurzy,,"02/003/0002",,,,
NIDAW19B,"2016",NTVY016,,"3224",B,4,Tělesná výchova s kurzy,,"02/003/0003",,,,
NIDAW19B,"2016",NTVY017,,"3224",B,4,Tělesná výchova s kurzy,,"02/003/0004",,,,
NIDAW19B,"2016",NTVY018,,"3224",B,4,Tělesná výchova s kurzy,,"02/003/0006",,,,
NIDAW19B,"2016",NTVY019,,"3224",B,4,Tělesná výchova s kurzy,,"02/003/0005",,,,
NIDAW19B,"2017",NAIL062,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0016",,,,
NIDAW19B,"2017",NAIL121,,"96",B,3,Povinně volitelné předměty IDAW Bc. skupina III.,,"02/009/0010",,,,
NIDAW19B,"2017",NDBI007,,"93",A,,Povinné předměty IDAW Bc.,,"02/006/0004",,,,
NIDAW19B,"2017",NDBI013,,"95",B,6,Povinně volitelné předměty IDAW Bc. skupina II.,,"02/008/0007",,,,
NIDAW19B,"2017",NDBI025,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0013",,,,
NIDAW19B,"2017",NDBI026,,"93",A,,Povinné předměty IDAW Bc.,,"02/006/0003",,,,
NIDAW19B,"2017",NDBI038,,"93",A,,Povinné předměty IDAW Bc.,,"02/006/0013",,,,
NIDAW19B,"2017",NDBI040,,"93",A,,Povinné předměty IDAW Bc.,,"02/006/0006",,,,
NIDAW19B,"2017",NDBI045,,"95",B,6,Povinně volitelné předměty IDAW Bc. skupina II.,,"02/008/0004",,,,
NIDAW19B,"2017",NDMI002,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0005",,,,
NIDAW19B,"2017",NDMI011,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0015",,,,
NIDAW19B,"2017",NJAZ076,NJAZ091,"3210",A,,Anglický jazyk,,"02/002/0001",,,,
NIDAW19B,"2017",NJAZ077,NJAZ091,"3210",A,,Anglický jazyk,,"02/002/0001",,,,
NIDAW19B,"2017",NJAZ091,,"3210",A,,Anglický jazyk,,"02/002/0001",,,,
NIDAW19B,"2017",NMAI054,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0011",,,,
NIDAW19B,"2017",NMAI055,,"96",B,3,Povinně volitelné předměty IDAW Bc. skupina III.,,"02/009/0001",,,,
NIDAW19B,"2017",NMAI057,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0006",,,,
NIDAW19B,"2017",NMAI058,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0012",,,,
NIDAW19B,"2017",NMAI059,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0018",,,,
NIDAW19B,"2017",NPFL054,,"95",B,6,Povinně volitelné předměty IDAW Bc. skupina II.,,"02/008/0003",,,,
NIDAW19B,"2017",NPGR002,,"96",B,3,Povinně volitelné předměty IDAW Bc. skupina III.,,"02/009/0009",,,,
NIDAW19B,"2017",NPGR035,,"96",B,3,Povinně volitelné předměty IDAW Bc. skupina III.,,"02/009/0011",,,,
NIDAW19B,"2017",NPRG005,,"94",B,15,Povinně volitelné předměty IDAW Bc. skupina I.,,"02/007/0014",,,,
NIDAW19B,"2017",NPRG013,,"94",B,15,Povinně volitelné předměty IDAW Bc. skupina I.,,"02/007/0006",,,,
NIDAW19B,"2017",NPRG021,,"94",B,15,Povinně volitelné předměty IDAW Bc. skupina I.,,"02/007/0012",,,,
NIDAW19B,"2017",NPRG030,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0002",,,,
NIDAW19B,"2017",NPRG031,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0008",,,,
NIDAW19B,"2017",NPRG035,,"94",B,15,Povinně volitelné předměty IDAW Bc. skupina I.,,"02/007/0007",,,,
NIDAW19B,"2017",NPRG036,,"93",A,,Povinné předměty IDAW Bc.,,"02/006/0009",,,,
NIDAW19B,"2017",NPRG038,,"94",B,15,Povinně volitelné předměty IDAW Bc. skupina I.,,"02/007/0013",,,,
NIDAW19B,"2017",NPRG041,,"94",B,15,Povinně volitelné předměty IDAW Bc. skupina I.,,"02/007/0001",,,,
NIDAW19B,"2017",NPRG045,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0019",,,,
NIDAW19B,"2017",NPRG051,,"94",B,15,Povinně volitelné předměty IDAW Bc. skupina I.,,"02/007/0008",,,,
NIDAW19B,"2017",NPRG056,,"96",B,3,Povinně volitelné předměty IDAW Bc. skupina III.,,"02/009/0003",,,,
NIDAW19B,"2017",NSWI004,,"95",B,6,Povinně volitelné předměty IDAW Bc. skupina II.,,"02/008/0001",,,,
NIDAW19B,"2017",NSWI090,,"96",B,3,Povinně volitelné předměty IDAW Bc. skupina III.,,"02/009/0006",,,,
NIDAW19B,"2017",NSWI120,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0003",,,,
NIDAW19B,"2017",NSWI130,,"96",B,3,Povinně volitelné předměty IDAW Bc. skupina III.,,"02/009/0007",,,,
NIDAW19B,"2017",NSWI141,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0004",,,,
NIDAW19B,"2017",NSWI142,,"93",A,,Povinné předměty IDAW Bc.,,"02/006/0001",,,,
NIDAW19B,"2017",NSWI153,,"93",A,,Povinné předměty IDAW Bc.,,"02/006/0007",,,,
NIDAW19B,"2017",NSWI166,,"95",B,6,Povinně volitelné předměty IDAW Bc. skupina II.,,"02/008/0006",,,,
NIDAW19B,"2017",NSZZ026,NSZZ031,"6229",A,,Bakalářská práce,,"02/001/0001",,,,
NIDAW19B,"2017",NSZZ031,,"6229",A,,Bakalářská práce,,"02/001/0001",,,,
NIDAW19B,"2017",NTIN060,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0007",,,,
NIDAW19B,"2017",NTIN061,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0014",,,,
NIDAW19B,"2017",NTIN071,,"3205",A,,Společné povinné předměty informatika Bc.,,"02/005/0017",,,,
NIDAW19B,"2017",NTVY014,,"3224",B,4,Tělesná výchova s kurzy,,"02/003/0001",,,,
NIDAW19B,"2017",NTVY015,,"3224",B,4,Tělesná výchova s kurzy,,"02/003/0002",,,,
NIDAW19B,"2017",NTVY016,,"3224",B,4,Tělesná výchova s kurzy,,"02/003/0003",,,,
NIDAW19B,"2017",NTVY017,,"3224",B,4,Tělesná výchova s kurzy,,"02/003/0004",,,,
NIDAW19B,"2017",NTVY018,,"3224",B,4,Tělesná výchova s kurzy,,"02/003/0006",,,,
NIDAW19B,"2017",NTVY019,,"3224",B,4,Tělesná výchova s kurzy,,"02/003/0005",,,,
