"STUDY_PROGRAMME_ID","NAME_CS","NAME_EN","FACULTY_ID","P_TYPE","P_FORM","GRADUATE_PROFILE_CS","GRADUATE_PROFILE_EN","JAZYK"
N0533A110009,Astronomie a astrofyzika,Astronomy and Astrophysics,"11320",N,D,"Absolventi mají pokročilé znalosti v hlavních partiích klasické a moderní astronomie, astrofyziky a kosmologie, opírající se o spolehlivý základ v obecných oblastech fyziky – teoretické mechanice, kvantové fyzice, termodynamice, statistické fyzice a obecné teorii relativity. Mají přehled o moderní pozorovací technice a metodách, jsou připraveni na analýzy pozorovacích dat a tvorbu numerických modelů. Jsou zběhlí ve sdělování odborných poznatků formou prezentací anebo psaných textů, a to též v anglickém jazyce. U absolventů se předpokládá nástup profesní dráhy vědeckého pracovníka. 
","Graduates have advanced knowledge in the main areas of classical and modern astronomy, astrophysics and cosmology, leaning on a reliable foundation in general areas of physics - theoretical mechanics, quantum physics, thermodynamics, statistical physics and general theory of relativity. They have an overview of modern observation techniques and methods, are ready for analysis of observation data and creation of numerical models. They are proficient in communicating expertise in the form of presentations or written texts, also in English. Graduates are expected to enter the professional career of a scientist.
",CS
B0114A110001,Fyzika se zaměřením na vzdělávání,Physics for Teacher Education,"11320",B,D,,,CS
P0533D110025,Fyzika nanostruktur a nanomateriálů,Physics of nanostructures and nanomaterials,"11320",D,E,"Absolvent doktorského SP Fyzika nanostruktur a nanomateriálů bude disponovat teoretickými i praktickými znalostmi ve fyzice nízkodimenzionálních struktur na bázi polovodičů, kovů a dielektrických materiálů, jakož i biologických, plasmonických a hybridních nanostruktur. Dle zaměření disertační práce bude odborníkem v přípravě některých typů nanostruktur a v použití fyzikálních experimentálních resp. teoretických metod pro jejich diagnostiku a studium. Absolventi studijního oboru se uplatní v základním fyzikálním, chemickém nebo biofyzikálním výzkumu, aplikovaném materiálovém výzkumu, biomedicínském inženýrství, výzkumu procesů katalýzy, nanofluidice, nanoelektronice, výzkumu nano- a mikromechanických systémů i v průmyslové
nanotechnologii.
","The graduate of the PhD study branch Physics of nanostructures will be competent in the theoretical and experimental physics of low-dimensional structures in semiconductor, metallic, and dielectric materials, as well as biological, plasmonic, and hybrid nanostructures. According to the focus of the PhD thesis, he/she will be an expert in the preparation and growth of various types of nanostructures and in the application of experimental and theoretical methods of their investigation. The graduates can practice in basic physical, chemical or biophysical research, as well as in applied material research, biomedical engineering, catalysis research, nanofluidics, in the research of micro- and nanomechanic systems, and industrial nanotechnology.
",CS
N0114A300066,Učitelství matematiky pro střední školy se sdruženým studiem Učitelství anglického jazyka a literatury pro střední školy,Teacher Education of Mathematics for Upper Secondary Schools with double curriculum study Teacher Education of English Language and Literature for Upper Secondary Schools,"11320",N,D,"
","
",CS
N0114A300066,Učitelství matematiky pro střední školy se sdruženým studiem Učitelství českého jazyka a literatury pro střední školy,Teacher Education of Mathematics for Upper Secondary Schools with double curriculum study Teacher Education of Czech Language and Literature for Upper Secondary Schools,"11320",N,D,"
","
",CS
N0541A170023,"Pravděpodobnost, matematická statistika a ekonometrie","Probability, Mathematical Statistics and Econometrics","11320",N,D,"Absolvent studijního programu Pravděpodobnost, matematická statistika a ekonometrie má pokročilé znalosti v základních oblastech matematiky náhody (teorie pravděpodobnosti, matematická statistika, optimalizace), rozumí jejich vzájemným souvislostem, jakož i souvislostem s dalšími matematickými obory. Je schopen pokročilé teoretické metody aplikovat při řešení konkrétních problémů. Je připravován na vysoce kvalifikovanou práci v různých odvětvích (ekonomika, technika, finanční sféra, přírodní i humanitní vědy) i na doktorské studium.","A graduate of the study program Probability, Mathematical Statistics and Econometrics has advaced knowledge in basic areas of mathematics of chance (probability theory, mathematical statistics, optimization) and understands their mutual connections, including connections to other areas of mathematics. He or she is able to apply advanced theoretical methods to solving particular problems. He or she is prepared for a highly qualified work as a specialist in diverse areas (economics, technics, finance, science and humanities) and also for a PhD study as well.",CS
B0613A140006,Informatika se specializací Umělá inteligence,Computer Science with specialisation in Artificial Intelligence,"11320",B,D,"Absolvent specializace získal obecný přehled o teoriích, metodách a postupech informatiky včetně znalostí programovacích postupů a konkrétních programovacích jazyků. Absolvent má znalosti matematiky, teoretické informatiky, počítačových a komunikačních systémů, algoritmů a datových struktur, programování, analýzy a zpracování dat a principů umělé inteligence a dále znalosti technik návrhu a analýzy algoritmů s ohledem na výpočetní složitost a praktickou řešitelnost úloh. Absolvent může pracovat v oblastech zabývajících si automatizací procesů, zpracováním velkých dat, zpracováním přirozeného jazyka a robotikou. Připraven je na pokračování v navazujícím magisterského studiu všech informatických oborů.
","The graduate has gained a general understanding of theories, methods, and processes of computer science, including knowledge of programming methods and programming languages. A graduate has knowledge of mathematics, theoretical computer science, computer and communication systems, programming, data analysis and processing, and principles of artificial intelligence, as well as knowledge of techniques for algorithm design and analysis that respect computational complexity and practical solvability of given tasks. A graduate can work in areas of process automation, big data processing, natural language processing, and robotics. He/she is prepared for a study of computer science on a master level.",CS
P0613D140012,Informatika - Vizuální výpočty a počítačové hry,Computer Science - Visual computing and computer games,"11320",D,D,"Absolvent je vybaven teoretickými znalostmi i praktickými zkušenostmi z počítačové grafiky, analýzy obrazu, strojového vidění a vývoje počítačových her. Má přehled o současných metodách používaných v těchto oborech a umí je aplikovat při řešení konkrétních výzkumných i praktických úkolů. Absolvent se může uplatnit v soukromých i veřejných firmách zabývajících se počítačovou grafikou (filmová produkce, počítačová animace, realistické zobrazování, 2D a 3D tisk, atp.), analýzou obrazu a počítačovým viděním (kamerové systémy, mikroskopie, dálkový průzkum země, armádní a lékařské aplikace, bezpečnostní systémy, rozpoznávání biometrických údajů, atp.) nebo ve vývoji počítačových her a interaktivních systémů virtuální a rozšířené reality.
","Graduates are equipped with theoretical knowledge and practical experience in the major areas of computer graphics, image analysis, machine vision, and computer games technology. They have knowledge of the state-of-the-art methods used in these fields and possess the ability to apply these in solving research problems as well as practical tasks. Graduates can work in both private and public enterprises focusing on computer graphics (film production, computer animation, realistic rendering, 2D and 3D printing, etc.), image analysis and computer vision (CCTV, microscopy, remote sensing, military and medical applications, security systems, biometric data recognition, etc.) or in the development of computer games and interactive systems of virtual and augmented reality.
",CS
P0619D140001,Matematická lingvistika,Computational linguistics,"11320",D,D,"Absolvent programu má široké teoretické i praktické znalosti z oblastí popisu jazykového systému a počítačového zpracování přirozeného jazyka a dovede je uplatnit při návrhu, implementaci a vyhodnocení experimentů v této oblasti.
","The graduate of this study program possesses theoretical knowledge as well as practical experience concerning description of natural languages and applications of natural language processing, and is able to apply them during development, implementation and evaluation of experiments in this field.
",CS
P0533D110015,Fyzika povrchů a rozhraní,Physics of Surfaces and Interfaces,"11320",D,E,"Absolventi programu mají široké vzdělání ve fyzice povrchů a tenkých vrstev, založené na znalosti fyzikálních vlastností povrchů a rozhraní pevných látek a fyzikálních procesů, které na nich probíhají. Umí používat moderní metody analýzy povrchů a získali praktické zkušenosti s řadou špičkových experimentálních technik využívaných na školicích pracovištích. Témata disertací se dotýkají základního výzkumu v oblasti fyziky materiálů a nanotechnologií. Experimentální přístup je spojen s řešením studovaných problémů na teoretické úrovni. Absolventi se uplatňují v domácích i zahraničních institucích v oblasti materiálového výzkumu, nanotechnologií a díky speciálním znalostem z oblasti analýzy povrchů i v průmyslovém aplikovaném výzkumu.
","Graduates obtain deep education in physics of surfaces and thin films based on knowledge of physical properties of solid state surfaces and interfaces and of physical processes related. The graduates are prepared for using modern methods of surface analysis and have got practical experience with a number of top experimental techniques used in surface science. PhD theses are focused on problems of basic research in material science and nanophysics. Experimental approach is in close relation with theoretical study of problems. Graduates successfully work in Czech or foreign scientific institutions focused on materials research and nanotechnologies. Special knowledge on surface analysis makes them desirable for applied research in industry.
",CS
