"PLAN_CODE","PLAN_YEAR","CODE","NAME_CZ","NAME_EN","SUBJECT_STATUS","SEMESTER_PRIMARY","SEMESTER_COUNT","SUBJECT_TYPE","WORKLOAD_PRIMARY1","WORKLOAD_SECONDARY1","WORKLOAD_PRIMARY2","WORKLOAD_SECONDARY2","CREDITS","INTERCHANGEABILITY","BLOC_SUBJECT_CODE","BLOC_TYPE","BLOC_LIMIT","BLOC_NAME_CZ","BLOC_NAME_EN","SEQ","NOTE_CZ","NOTE_EN","BLOC_NOTE_CZ","BLOC_NOTE_EN"
NIPVS19B,"2020",NAIL062,Výroková a predikátová logika,Propositional and Predicate Logic,V,"1","1",*,"2","2",,,5,,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0016",,,,
NIPVS19B,"2020",NAIL120,Úvod do umělé inteligence,Introduction to Artificial Intelligence,V,"2","1",*,"2","2",,,5,,"92",B,37,Povinně volitelné předměty IPVS Bc. skupina V.,,"02/011/0023",,,,
NIPVS19B,"2020",NAIX062,Výroková a predikátová logika,Propositional and Predicate Logic,V,"1","1",*,"2","2",,,6,NAIL062,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0016",,,,
NIPVS19B,"2020",NDBI007,Databázové přístupové metody,Database Access Methods,V,"1","1",*,"2","1",,,4,,"92",B,37,Povinně volitelné předměty IPVS Bc. skupina V.,,"02/011/0018",,,,
NIPVS19B,"2020",NDBI025,Databázové systémy,Database Systems,V,"1","1",*,"2","2",,,5,,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0013",,,,
NIPVS19B,"2020",NDBI040,Moderní databázové systémy,Modern Database Systems,V,"1","1",*,"2","2",,,5,,"92",B,37,Povinně volitelné předměty IPVS Bc. skupina V.,,"02/011/0019",,,,
NIPVS19B,"2020",NDBX007,Databázové přístupové metody,Database access methods,Z,"1","1",*,"2","1",,,5,NDBI007,"92",B,37,Povinně volitelné předměty IPVS Bc. skupina V.,,"02/011/0018",,,,
NIPVS19B,"2020",NDBX025,Databázové systémy,Database Systems,V,"1","1",*,"2","2",,,6,NDBI025,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0013",,,,
NIPVS19B,"2020",NDMI002,Diskrétní matematika,Discrete Mathematics,V,"1","1",*,"2","2",,,5,,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0005",,,,
NIPVS19B,"2020",NDMI011,Kombinatorika a grafy 1,Combinatorics and Graph Theory 1,V,"1","1",*,"2","2",,,5,,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0015",,,,
NIPVS19B,"2020",NDMI100,Úvod do kryptografie,Introduction to cryptography,V,"1","1",K,"2","0",,,3,,"92",B,37,Povinně volitelné předměty IPVS Bc. skupina V.,,"02/011/0026",,,,
NIPVS19B,"2020",NDMX011,Kombinatorika a grafy 1,Combinatorics and Graph Theory 1,Z,"1","1",*,"2","2",,,6,NDMI011,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0015",,,,
NIPVS19B,"2020",NJAZ091,Anglický jazyk,English Language,V,"3","1",K,"0","0",,,1,,"3214",A,,Anglický jazyk,,"02/002/0001",,,,
NIPVS19B,"2020",NMAI054,Matematická analýza 1,Mathematical Analysis 1,V,"2","1",*,"2","2",,,5,,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0011",,,,
NIPVS19B,"2020",NMAI055,Matematická analýza 2,Mathematical Analysis 2,V,"1","1",*,"2","2",,,5,,"92",B,37,Povinně volitelné předměty IPVS Bc. skupina V.,,"02/011/0025",,,,
NIPVS19B,"2020",NMAI057,Lineární algebra 1,Linear Algebra 1,V,"1","1",*,"2","2",,,5,,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0006",,,,
NIPVS19B,"2020",NMAI058,Lineární algebra 2,Linear Algebra 2,V,"2","1",*,"2","2",,,5,,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0012",,,,
NIPVS19B,"2020",NMAI059,Pravděpodobnost a statistika 1,Probability and Statistics 1,V,"3","1",*,"2","2",,,5,,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0018",,,,
NIPVS19B,"2020",NMAX055,Matematická analýza 2,Mathematical Analysis 2,Z,"1","1",*,"2","2",,,6,NMAI055,"92",B,37,Povinně volitelné předměty IPVS Bc. skupina V.,,"02/011/0025",,,,
