,facet_id,title_cs,title_en,desc_cs,desc_en,displayed_value_limit,position,filter_id
0,faculty,Fakulta,Faculty,,,3,0,courses
1,taught,Stav předmětu,Course status,,,3,1,courses
2,start_semester,Semestr,Semester,,,3,2,courses
3,credits,Kredity,Credits,,,6,3,courses
4,semester_count,Počet semestrů,Number of semesters,,,3,4,courses
5,lecture_range,Rozsah přednášky,Lecture range,,,3,5,courses
6,seminar_range,Rozsah cvičení,Seminar range,,,3,6,courses
7,language,Jazyk výuky,Language,,,2,7,courses
8,exam_type,Typ examinace,Exam type,,,4,8,courses
9,range_unit,Jednotka rozsahu,Range unit,,,4,9,courses
10,department,Katedra,Department,,,6,10,courses
11,teacher_facet,Učitelé,Teachers,,,5,0,course-survey
12,academic_year,Rok,Year,,,5,1,course-survey
13,study_field,Obor,Field,,,5,2,course-survey
14,study_type.code,Forma studia,Study form,,,5,3,course-survey
15,study_year,Ročník,Year,,,5,4,course-survey
16,target_type,Přednáška/Cvičení,Lecture/Seminar,,,5,5,course-survey
