,title_cs,title_en,category,description_cs,description_en,facet_id,position
0,Čeština,Czech,9,,,czech,0
1,Angličtina,English,9,,,english,1
2,Němčina,German,9,,,german,2
3,Francouzština,French,9,,,french,3
4,Španělština,Spanish,9,,,spanish,4
5,Ruština,Russian,9,,,russian,5
6,Matematicko-fyzikální fakulta,Faculty of Mathematics and Physics,0,,,faculty_of_mathematics_and_physics,0
7,Nevyučován,Not taught,1,,,not_taught,0
8,Vyučován,Taught,1,,,taught,1
9,1,1,2,,,1,0
10,2,2,2,,,2,1
11,3,3,2,,,3,2
13,0,0,3,,,0,0
14,1,1,3,,,1,1
15,2,2,3,,,2,2
16,3,3,3,,,3,3
17,4,4,3,,,4,4
18,5,5,3,,,5,5
19,6,6,3,,,6,6
20,7,7,3,,,7,7
21,8,8,3,,,8,8
22,9,9,3,,,9,9
23,10,10,3,,,10,10
24,12,12,3,,,12,11
25,15,15,3,,,15,12
26,27,27,3,,,27,13
28,1,1,4,,,1,0
29,2,2,4,,,2,1
31,0,0,5,,,0,0
32,1,1,5,,,1,1
33,2,2,5,,,2,2
34,3,3,5,,,3,3
35,4,4,5,,,4,4
36,20,20,5,,,20,5
38,0,0,6,,,0,0
39,1,1,6,,,1,1
40,2,2,6,,,2,2
41,3,3,6,,,3,3
42,4,4,6,,,4,4
43,6,6,6,,,6,5
44,20,20,6,,,20,6
46,0,0,7,,,0,0
47,1,1,7,,,1,1
48,2,2,7,,,2,2
49,3,3,7,,,3,3
50,4,4,7,,,4,4
51,20,20,7,,,20,5
53,0,0,8,,,0,0
54,1,1,8,,,1,1
55,2,2,8,,,2,2
56,3,3,8,,,3,3
57,4,4,8,,,4,4
58,6,6,8,,,6,5
59,20,20,8,,,20,6
61,Z+Zk,C+Ex,10,,,c+ex,0
62,Zk,Ex,10,,,ex,1
63,KZ,MC,10,,,mc,2
64,Z,C,10,,,c,3
66,Z*,Z*,10,,,z*,5
67,-,-,10,,,-,6
68,Q,Q,10,,,q,7
69,J,J,10,,,j,8
70,X,X,10,,,x,9
71,KK,KK,10,,,kk,10
72,ZZ,ZZ,10,,,zz,11
73,1,1,10,,,1,12
74,I,I,10,,,i,13
75,D,D,10,,,d,14
76,P,P,10,,,p,15
77,R,R,10,,,r,16
78,**,**,10,,,**,17
79,S,S,10,,,s,18
80,DS,DS,11,,,ds,0
81,HS,HS,11,,,hs,1
82,HT,HT,11,,,ht,2
83,TS,TS,11,,,ts,3
85,32-#EXT,32-#EXT,12,,,32-#ext,0
86,32-#PRX,32-#PRX,12,,,32-#prx,1
87,32-AUUK,32-AUUK,12,,,32-auuk,2
88,32-FFUK,32-FFUK,12,,,32-ffuk,3
89,32-FUUK,32-FUUK,12,,,32-fuuk,4
90,32-IUUK,32-IUUK,12,,,32-iuuk,5
91,32-KA,32-KA,12,,,32-ka,6
92,32-KAM,32-KAM,12,,,32-kam,7
93,32-KCHFO,32-KCHFO,12,,,32-kchfo,8
94,32-KDF,32-KDF,12,,,32-kdf,9
95,32-KDM,32-KDM,12,,,32-kdm,10
96,32-KDSS,32-KDSS,12,,,32-kdss,11
97,32-KFA,32-KFA,12,,,32-kfa,12
98,32-KFKL,32-KFKL,12,,,32-kfkl,13
99,32-KFM,32-KFM,12,,,32-kfm,14
100,32-KFNT,32-KFNT,12,,,32-kfnt,15
101,32-KFPP,32-KFPP,12,,,32-kfpp,16
102,32-KG,32-KG,12,,,32-kg,17
103,32-KJP,32-KJP,12,,,32-kjp,18
104,32-KMA,32-KMA,12,,,32-kma,19
105,32-KMF,32-KMF,12,,,32-kmf,20
106,32-KNM,32-KNM,12,,,32-knm,21
107,32-KPMS,32-KPMS,12,,,32-kpms,22
108,32-KSI,32-KSI,12,,,32-ksi,23
109,32-KSVI,32-KSVI,12,,,32-ksvi,24
110,32-KTIML,32-KTIML,12,,,32-ktiml,25
111,32-KTV,32-KTV,12,,,32-ktv,26
112,32-KVOF,32-KVOF,12,,,32-kvof,27
113,32-MUAV,32-MUAV,12,,,32-muav,28
114,32-MUUK,32-MUUK,12,,,32-muuk,29
115,32-PASSAU,32-PASSAU,12,,,32-passau,30
116,32-SISAL,32-SISAL,12,,,32-sisal,31
117,32-STUD,32-STUD,12,,,32-stud,32
118,32-UCJF,32-UCJF,12,,,32-ucjf,33
119,32-UFAL,32-UFAL,12,,,32-ufal,34
120,32-UTF,32-UTF,12,,,32-utf,35
121,32-UTIAAV,32-UTIAAV,12,,,32-utiaav,36
