"PLAN_CODE","PLAN_YEAR","CODE","INTERCHANGEABILITY","BLOC_SUBJECT_CODE","BLOC_TYPE","BLOC_LIMIT","BLOC_NAME_CZ","BLOC_NAME_EN","SEQ","NOTE_CZ","NOTE_EN","BLOC_NOTE_CZ","BLOC_NOTE_EN"
NIPVS19B,"2020",NAIL062,,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0016",,,,
NIPVS19B,"2020",NAIL120,,"92",B,37,Povinně volitelné předměty IPVS Bc. skupina V.,,"02/011/0023",,,,
NIPVS19B,"2020",NAIX062,NAIL062,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0016",,,,
NIPVS19B,"2020",NDBI007,,"92",B,37,Povinně volitelné předměty IPVS Bc. skupina V.,,"02/011/0018",,,,
NIPVS19B,"2020",NDBI025,,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0013",,,,
NIPVS19B,"2020",NDBI040,,"92",B,37,Povinně volitelné předměty IPVS Bc. skupina V.,,"02/011/0019",,,,
NIPVS19B,"2020",NDBX007,NDBI007,"92",B,37,Povinně volitelné předměty IPVS Bc. skupina V.,,"02/011/0018",,,,
NIPVS19B,"2020",NDBX025,NDBI025,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0013",,,,
NIPVS19B,"2020",NDMI002,,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0005",,,,
NIPVS19B,"2020",NDMI011,,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0015",,,,
NIPVS19B,"2020",NDMI100,,"92",B,37,Povinně volitelné předměty IPVS Bc. skupina V.,,"02/011/0026",,,,
NIPVS19B,"2020",NDMX011,NDMI011,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0015",,,,
NIPVS19B,"2020",NJAZ091,,"3214",A,,Anglický jazyk,,"02/002/0001",,,,
NIPVS19B,"2020",NMAI054,,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0011",,,,
NIPVS19B,"2020",NMAI055,,"92",B,37,Povinně volitelné předměty IPVS Bc. skupina V.,,"02/011/0025",,,,
NIPVS19B,"2020",NMAI057,,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0006",,,,
NIPVS19B,"2020",NMAI058,,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0012",,,,
NIPVS19B,"2020",NMAI059,,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0018",,,,
NIPVS19B,"2020",NMAX055,NMAI055,"92",B,37,Povinně volitelné předměty IPVS Bc. skupina V.,,"02/011/0025",,,,
NIPVS19B,"2020",NMAX059,NMAI059,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0018",,,,
NIPVS19B,"2020",NPFL054,NPFL129,"92",B,37,Povinně volitelné předměty IPVS Bc. skupina V.,,"02/011/0022",,,,
NIPVS19B,"2020",NPFL129,,"92",B,37,Povinně volitelné předměty IPVS Bc. skupina V.,,"02/011/0022",,,,
NIPVS19B,"2020",NPGR003,,"92",B,37,Povinně volitelné předměty IPVS Bc. skupina V.,,"02/011/0017",,,,
NIPVS19B,"2020",NPGR038,,"92",B,37,Povinně volitelné předměty IPVS Bc. skupina V.,,"02/011/0016",,,,
NIPVS19B,"2020",NPRG005,,"92",B,37,Povinně volitelné předměty IPVS Bc. skupina V.,,"02/011/0024",,,,
NIPVS19B,"2020",NPRG013,,"81",B,5,Povinně volitelné předměty IPVS Bc. skupina I.,,"02/007/0001",,,,
NIPVS19B,"2020",NPRG021,,"82",B,10,Povinně volitelné předměty IPVS Bc. skupina II.,,"02/008/0003",,,,
NIPVS19B,"2020",NPRG024,,"83",B,10,Povinně volitelné předměty IPVS Bc. skupina III.,,"02/009/0001",,,,
NIPVS19B,"2020",NPRG030,,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0002",,,,
NIPVS19B,"2020",NPRG031,,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0008",,,,
NIPVS19B,"2020",NPRG035,,"81",B,5,Povinně volitelné předměty IPVS Bc. skupina I.,,"02/007/0004",,,,
NIPVS19B,"2020",NPRG036,,"83",B,10,Povinně volitelné předměty IPVS Bc. skupina III.,,"02/009/0004",,,,
NIPVS19B,"2020",NPRG038,,"82",B,10,Povinně volitelné předměty IPVS Bc. skupina II.,,"02/008/0005",,,,
NIPVS19B,"2020",NPRG041,,"80",A,,Povinné předměty IPVS Bc.,,"02/006/0005",,,,
NIPVS19B,"2020",NPRG042,,"84",B,6,Povinně volitelné předměty IPVS Bc. skupina IV.,,"02/010/0003",,,,
NIPVS19B,"2020",NPRG043,,"80",A,,Povinné předměty IPVS Bc.,,"02/006/0010",,,,
NIPVS19B,"2020",NPRG045,,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0019",,,,
NIPVS19B,"2020",NPRG051,,"82",B,10,Povinně volitelné předměty IPVS Bc. skupina II.,,"02/008/0001",,,,
NIPVS19B,"2020",NPRG054,,"84",B,6,Povinně volitelné předměty IPVS Bc. skupina IV.,,"02/010/0002",,,,
NIPVS19B,"2020",NPRG056,,"82",B,10,Povinně volitelné předměty IPVS Bc. skupina II.,,"02/008/0009",,,,
NIPVS19B,"2020",NPRG062,,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0001",,,,
NIPVS19B,"2020",NPRX005,NPRG005,"92",B,37,Povinně volitelné předměty IPVS Bc. skupina V.,,"02/011/0024",,,,
NIPVS19B,"2020",NPRX013,NPRG013,"81",B,5,Povinně volitelné předměty IPVS Bc. skupina I.,,"02/007/0001",,,,
NIPVS19B,"2020",NPRX021,NPRG021,"82",B,10,Povinně volitelné předměty IPVS Bc. skupina II.,,"02/008/0003",,,,
NIPVS19B,"2020",NPRX030,NPRG030,"3208",A,,Společné povinné předměty informatika Bc.,,"02/005/0002",,,,
NIPVS19B,"2020",NPRX035,NPRG035,"81",B,5,Povinně volitelné předměty IPVS Bc. skupina I.,,"02/007/0004",,,,
NIPVS19B,"2020",NPRX036,NPRG036,"83",B,10,Povinně volitelné předměty IPVS Bc. skupina III.,,"02/009/0004",,,,
NIPVS19B,"2020",NPRX038,NPRG038,"82",B,10,Povinně volitelné předměty IPVS Bc. skupina II.,,"02/008/0005",,,,
NIPVS19B,"2020",NPRX041,NPRG041,"80",A,,Povinné předměty IPVS Bc.,,"02/006/0005",,,,
NIPVS19B,"2020",NPRX043,NPRG043,"80",A,,Povinné předměty IPVS Bc.,,"02/006/0010",,,,
